Freq_GHz	Rm60_Rs5_dBm	Open_Rs5_dBm	Rm60_Rs15_dBm	Open_Rs15_dBm	Rm60_Rs25_dBm	Open_Rs25_dBm	Rm60_Rs35_dBm	Open_Rs35_dBm	Rm60_Rs45_dBm	Open_Rs45_dBm
4.05208	-21.3542	-16.1094	-21.3899	-16.1662	-21.4347	-16.2315	-21.4884	-16.3049	-21.5507	-16.386
4.07204	-21.3548	-16.1103	-21.3909	-16.1677	-21.4362	-16.2336	-21.4904	-16.3077	-21.5532	-16.3895
4.092	-21.3555	-16.1112	-21.392	-16.1691	-21.4377	-16.2357	-21.4924	-16.3105	-21.5558	-16.393
4.11196	-21.3562	-16.1121	-21.393	-16.1706	-21.4392	-16.2378	-21.4944	-16.3132	-21.5584	-16.3966
4.13192	-21.3569	-16.113	-21.394	-16.172	-21.4407	-16.2399	-21.4964	-16.316	-21.561	-16.4001
4.15188	-21.3576	-16.1139	-21.3951	-16.1735	-21.4421	-16.242	-21.4984	-16.3188	-21.5636	-16.4037
4.17184	-21.3583	-16.1148	-21.3962	-16.175	-21.4437	-16.2441	-21.5005	-16.3217	-21.5663	-16.4073
4.1918	-21.359	-16.1157	-21.3972	-16.1765	-21.4452	-16.2462	-21.5025	-16.3245	-21.5689	-16.4109
4.21176	-21.3597	-16.1167	-21.3983	-16.178	-21.4467	-16.2483	-21.5046	-16.3273	-21.5716	-16.4145
4.23172	-21.3604	-16.1176	-21.3994	-16.1795	-21.4482	-16.2505	-21.5066	-16.3302	-21.5742	-16.4181
4.25168	-21.3611	-16.1185	-21.4004	-16.181	-21.4497	-16.2526	-21.5087	-16.3331	-21.5769	-16.4217
4.27164	-21.3619	-16.1195	-21.4015	-16.1825	-21.4513	-16.2548	-21.5108	-16.3359	-21.5796	-16.4254
