f,median,std,count,fam
8.83,0.3099999999999987,7.488863730937846e-16,12,B_S21_cal
9.0,0.21000000000000085,1.373457018935243e-15,13,B_S21_cal
9.17,0.07000000000000028,0.0,10,B_S21_cal
9.33,0.09999999999999964,1.5382684265260963e-15,17,B_S21_cal
9.5,0.21000000000000085,1.5609067156558329e-15,13,B_S21_cal
9.67,0.27999999999999936,1.7902884162752205e-15,9,B_S21_cal
9.83,0.33000000000000185,1.1956296481136815e-15,12,B_S21_cal
10.0,0.3500000000000014,1.472653105968852e-15,15,B_S21_cal
10.17,0.28999999999999915,1.4293447747153169e-15,11,B_S21_cal
10.33,0.1999999999999993,6.158830266755743e-16,17,B_S21_cal
10.5,0.15000000000000213,1.8336334038497063e-15,6,B_S21_cal
10.67,0.11999999999999922,1.649052625866103e-15,16,B_S21_cal
10.83,0.08999999999999986,1.5100665727558131e-15,10,B_S21_cal
11.0,0.03999999999999915,1.6075677525280024e-15,12,B_S21_cal
11.17,0.0,0.0,19,B_S21_cal
11.33,0.029999999999998472,1.7695805876735486e-15,12,B_S21_cal
11.5,0.00999999999999801,1.6273486801150295e-15,8,B_S21_cal
11.67,0.05999999999999872,1.2861925526039545e-15,15,B_S21_cal
11.83,0.07000000000000028,6.737519483400931e-16,7,B_S21_cal
12.0,0.030000000000001137,1.249939159600547e-15,15,B_S21_cal
12.17,0.009999999999999787,1.5723613075073563e-15,16,B_S21_cal
12.33,0.04000000000000048,1.712314987376621e-15,12,B_S21_cal
12.5,0.08999999999999986,0.0,3,B_S21_cal
12.67,0.14999999999999858,1.5494349656815108e-15,21,B_S21_cal
12.83,0.23000000000000043,0.0,8,B_S21_cal
13.0,0.3200000000000003,0.0,12,B_S21_cal
13.17,0.34999999999999876,1.7653625177564367e-15,12,B_S21_cal
13.25,0.33999999999999986,0.0,5,B_S21_cal
13.33,0.3199999999999976,1.7007321910901718e-15,4,B_S21_cal
13.5,0.379999999999999,5.881301029635769e-16,9,B_S21_cal
13.67,0.5100000000000016,1.5560459909924362e-15,17,B_S21_cal
13.83,0.5600000000000005,1.5400384829114069e-15,13,B_S21_cal
14.0,0.5300000000000011,1.8332692514427205e-15,10,B_S21_cal
14.17,0.5199999999999996,1.3630323088907933e-15,12,B_S21_cal
14.33,0.5300000000000002,1.3842417455505743e-15,12,B_S21_cal
14.5,0.5700000000000003,1.6419079479628001e-15,8,B_S21_cal
14.67,0.629999999999999,8.85572511629896e-16,17,B_S21_cal
14.83,0.6700000000000017,1.6238243444739615e-15,14,B_S21_cal
15.0,0.6899999999999995,9.742167503148516e-16,5,B_S21_cal
15.17,0.7200000000000024,1.6199713451571071e-15,12,B_S21_cal
15.33,0.7600000000000016,1.8294961442693824e-15,12,B_S21_cal
15.5,0.7699999999999996,7.641609510686933e-16,9,B_S21_cal
15.67,0.75,0.0,20,B_S21_cal
15.83,0.7300000000000004,2.059156955057807e-15,3,B_S21_cal
16.0,0.6999999999999993,1.3483611784316361e-15,13,B_S21_cal
16.17,0.6700000000000017,1.660488051076451e-15,14,B_S21_cal
16.33,0.6400000000000006,6.568167990716596e-16,7,B_S21_cal
16.5,0.5899999999999999,1.2391373631705177e-15,15,B_S21_cal
16.67,0.509999999999998,1.7215419237734223e-15,10,B_S21_cal
16.83,0.4200000000000017,9.742167503148516e-16,5,B_S21_cal
17.0,0.28999999999999915,1.6992864028481787e-15,15,B_S21_cal
17.17,0.240000000000002,1.2794487463737265e-15,16,B_S21_cal
17.33,0.27999999999999936,2.5121479338940403e-15,2,B_S21_cal
17.5,0.3099999999999987,1.3279014261977615e-15,14,B_S21_cal
17.67,0.3500000000000014,1.7161999220386418e-15,12,B_S21_cal
17.83,0.3500000000000014,6.699776655768845e-16,7,B_S21_cal
18.0,0.3100000000000005,1.5072580941561347e-15,17,B_S21_cal
18.17,0.35999999999999943,1.897691282939583e-15,7,B_S21_cal
18.33,0.5100000000000016,1.8314006654394267e-15,10,B_S21_cal
18.5,0.620000000000001,1.0605390551611693e-15,13,B_S21_cal
18.67,0.6699999999999982,1.7806883670196607e-15,9,B_S21_cal
18.83,0.7800000000000011,1.464484751053976e-15,11,B_S21_cal
19.0,0.9700000000000011,1.7905633129389856e-15,10,B_S21_cal
19.17,1.12,1.6944021314150247e-15,14,B_S21_cal
19.33,1.2000000000000028,1.8364041956551467e-15,6,B_S21_cal
19.5,1.259999999999998,7.611305586242616e-16,9,B_S21_cal
19.67,1.299999999999999,1.7002928956699312e-15,12,B_S21_cal
19.83,1.3599999999999994,0.0,10,B_S21_cal
20.0,1.490000000000002,1.4928268678079713e-15,6,B_S21_cal
20.17,1.5999999999999996,1.5291857676244382e-15,15,B_S21_cal
20.33,1.6799999999999997,1.6338448384287867e-15,8,B_S21_cal
20.5,1.8000000000000007,0.0,6,B_S21_cal
20.67,1.9700000000000002,1.3439911407396807e-15,12,B_S21_cal
20.83,2.09,0.0,9,B_S21_cal
21.0,2.120000000000001,0.0,8,B_S21_cal
21.17,2.1099999999999994,5.836475664302751e-16,12,B_S21_cal
21.33,2.009999999999998,1.8387040139585255e-15,8,B_S21_cal
21.5,1.8999999999999995,1.7342238036525468e-15,6,B_S21_cal
21.67,1.790000000000001,1.6000016692061348e-15,14,B_S21_cal
21.83,1.6700000000000017,1.9186846773327266e-15,7,B_S21_cal
22.0,1.5599999999999987,1.683736582170148e-15,7,B_S21_cal
22.17,1.4600000000000009,1.4286978659812466e-15,11,B_S21_cal
