f,median,std,count,fam
25.17,1.2000000000000002,1.7342238036525468e-15,6,A_Cal.s2p
25.33,1.2100000000000004,9.077873704333952e-16,8,A_Cal.s2p
25.5,1.2099999999999973,1.859416423549057e-15,9,A_Cal.s2p
25.67,1.1900000000000013,1.8862903738795375e-15,7,A_Cal.s2p
25.83,1.1600000000000001,6.366999717856982e-16,10,A_Cal.s2p
26.0,1.1099999999999994,0.0,8,A_Cal.s2p
26.17,1.0700000000000003,0.0,10,A_Cal.s2p
26.33,1.0599999999999996,8.671119018262734e-16,9,A_Cal.s2p
26.5,1.0500000000000007,6.713997766802521e-16,8,A_Cal.s2p
26.67,1.0299999999999976,1.8444410139024814e-15,8,A_Cal.s2p
26.83,1.0099999999999998,1.5888218580782547e-15,6,A_Cal.s2p
27.0,0.9800000000000004,0.0,2,A_Cal.s2p
27.08,0.9700000000000006,1.5798750608595155e-15,5,A_Cal.s2p
27.25,0.9499999999999993,3.3569988834012605e-16,8,A_Cal.s2p
27.42,0.9299999999999997,5.20740757162067e-16,3,A_Cal.s2p
27.58,0.9200000000000004,1.6331980699775965e-15,6,A_Cal.s2p
27.75,0.9299999999999997,0.0,8,A_Cal.s2p
27.92,0.9199999999999982,1.3384213234028293e-15,7,A_Cal.s2p
28.08,0.9100000000000001,0.0,3,A_Cal.s2p
28.25,0.9100000000000001,0.0,5,A_Cal.s2p
28.42,0.9100000000000001,0.0,5,A_Cal.s2p
28.58,0.9299999999999997,3.7155169009665004e-16,6,A_Cal.s2p
28.75,0.9699999999999989,0.0,4,A_Cal.s2p
28.92,0.9800000000000004,0.0,5,A_Cal.s2p
29.08,0.9699999999999993,8.503660955450859e-16,4,A_Cal.s2p
29.25,0.9800000000000004,0.0,6,A_Cal.s2p
29.42,1.0,0.0,3,A_Cal.s2p
29.58,1.0399999999999991,,1,A_Cal.s2p
29.75,1.1000000000000014,1.7007321910901718e-15,7,A_Cal.s2p
30.08,1.1399999999999997,1.2560739669470201e-15,2,A_Cal.s2p
30.25,1.129999999999999,1.7031462905183537e-15,7,A_Cal.s2p
30.58,1.1000000000000005,1.2560739669470201e-15,2,A_Cal.s2p
30.75,1.129999999999999,0.0,2,A_Cal.s2p
30.92,1.1999999999999993,7.091535990731451e-16,6,A_Cal.s2p
31.08,1.2899999999999991,,1,A_Cal.s2p
31.33,1.379999999999999,7.850462293418876e-16,5,A_Cal.s2p
31.5,1.4299999999999997,0.0,2,A_Cal.s2p
31.67,1.4400000000000013,,1,A_Cal.s2p
31.83,1.459999999999999,0.0,2,A_Cal.s2p
32.0,1.5199999999999996,1.8390870374006467e-15,6,A_Cal.s2p
32.33,1.6199999999999992,1.041481514324134e-15,3,A_Cal.s2p
32.5,1.6700000000000017,0.0,6,A_Cal.s2p
32.67,1.7400000000000002,,1,A_Cal.s2p
32.83,1.8100000000000005,,1,A_Cal.s2p
33.0,1.8000000000000007,1.7460294117326227e-15,7,A_Cal.s2p
33.17,1.799999999999999,,1,A_Cal.s2p
33.33,1.7699999999999996,,1,A_Cal.s2p
33.5,1.7300000000000004,1.9357399876532506e-15,5,A_Cal.s2p
33.67,1.7300000000000004,1.041481514324134e-15,3,A_Cal.s2p
33.83,1.7200000000000006,,1,A_Cal.s2p
34.0,1.6799999999999997,0.0,5,A_Cal.s2p
34.33,1.5999999999999996,,1,A_Cal.s2p
34.5,1.5700000000000003,0.0,4,A_Cal.s2p
34.67,1.5,,1,A_Cal.s2p
