D,V,lab,camp,Rm,Cpd_fF,fmax_GHz,L1,Lm,L2,rms,flags,ms_L1,ms_Lm,ms_L2,ms_rms,ms_flags,n_minima,minima,f_RC,f_peak,e_peak,f50,f80,rms_mag,rms_phase_deg,rms_le5,rms_le20,rms_0_10,frac_0_10,rms_10_20,frac_10_20,rms_20_30,frac_20_30,rms_30_40,frac_30_40,rms_40_50,frac_40_50
30,-5,38,Jan,34.889372888630504,161.10000000000002,40.0,35.472639585377095,39.894708984800275,167.30206006513325,0.07058236600673096,,35.47060727894691,39.891569401726215,167.30260735332294,0.07058236592345965,,1,"0.0706:(35,40,167)",35.846987257742434,40.0,0.19216803651219033,34.31374073864543,38.70600492948302,0.025620962623755066,7.99414928868271,0.01156280471063,0.05080925677403655,0.024755469590279456,0.030600171543908688,0.06745611813041652,0.22720831140342254,0.06274000762390922,0.1965489180640218,0.10350546646780164,0.5456425989886471,,
30,-3,38,Jan,33.232610117694506,230.80000000000004,40.0,61.945763084621824,82.43164828957691,166.36352056635266,0.08220678312980798,,61.952912628727944,82.44042083179957,166.35946722370522,0.08220678306167631,,1,"0.0822:(62,82,166)",29.610473632007555,40.0,0.2048981254508002,34.63087290274488,38.47921924883311,0.05618040464119948,6.716740372588043,0.022205846739414996,0.05607751495147761,0.04021662455853519,0.05953465939390805,0.06835201880986554,0.171973421587065,0.055675818032836354,0.11410163121311345,0.13201978368208253,0.6543902878059136,,
30,-7,76,Jan,73.29008493398887,133.5,40.0,38.9007261945813,63.29934572915805,150.7426366172389,0.06592106246790724,,38.899643696112825,63.29529560196905,150.74310479678732,0.0659210624612163,,1,"0.0659:(39,63,151)",32.68501380621466,40.0,0.17634551277156574,34.28352313276557,38.659474921926744,0.046928158243801574,4.513923320107498,0.013725246666933573,0.048427104752863714,0.02701206963991951,0.041767768358352525,0.06293422791500512,0.2267249774623385,0.05582729841686867,0.17840982793307905,0.09732803555737529,0.5530974262462299,,
30,-5,76,Jan,70.16991797628395,161.10000000000002,40.0,45.86799805044726,106.55265951331346,154.7001505752895,0.07243703599574643,,45.86704363705499,106.5492308770619,154.70068988589838,0.07243703597058201,,1,"0.0724:(46,107,155)",29.41469802114285,40.0,0.18754117687680216,34.555754970101106,38.58858192772398,0.05416959063371676,4.512060977009247,0.01857376009206911,0.05375839664693816,0.034411645451842734,0.05613884636011977,0.0677921018806449,0.21787670720065586,0.0537078867291503,0.136750440217787,0.11038689396936245,0.5892340062214374,,
30,-3,76,Jan,68.39264792862659,230.80000000000004,40.0,55.29600238666871,200.6597896069845,161.2263925901803,0.08383502286792635,,55.29374418744202,200.65511768177498,161.2281766122637,0.08383502280204039,,1,"0.0838:(55,201,161)",22.73173964800439,40.0,0.20716196418673263,34.59012511390733,38.45923952269573,0.06597126845327109,4.597418603362101,0.028576617801786285,0.059357940526420405,0.048351965066846206,0.08274680446926164,0.06862082541947895,0.16666133212758444,0.05626214036769978,0.1120354526483375,0.1329958416274883,0.6385564107548164,,
30,-7,120,Jan,115.01047892837558,133.5,40.0,44.215251261185124,38.581148378870786,152.5161589221287,0.06291534633505787,,44.21412518533228,38.576288937205916,152.51693087796147,0.06291534631838316,,1,"0.0629:(44,39,153)",28.78681973077768,40.0,0.16820713908548462,34.461369399449715,38.64492329275468,0.0477821846781792,3.4731561323714,0.01587463879210732,0.045615453096234375,0.02908073307527352,0.05314610780562961,0.05758341850007005,0.2083798164617092,0.05006114251074658,0.15749337066235788,0.09520294583546147,0.5809807050703034,,
30,-5,120,Jan,112.1670315927856,161.10000000000002,40.0,56.66361956684886,110.83746411703757,150.54667464772453,0.06856240209296173,,56.66335966752816,110.83678500876951,150.54688635423426,0.06856240208958167,,1,"0.0686:(57,111,151)",25.56028070784499,40.0,0.17975571501146137,34.749619867454456,38.613622163122095,0.05227900505709306,3.726770886840462,0.020361011241849157,0.04798219446990665,0.03530913798095736,0.06597450304490855,0.057946930439304496,0.1776899104330453,0.049912213472274806,0.13183039630128515,0.10756401174340444,0.624505190220761,,
30,-3,120,Jan,110.0948479131972,230.80000000000004,40.0,164.89212282061112,2.456139176956124e-20,65.5677073249781,0.06994399790168912,Lm@0,164.89212282061112,2.456139176956124e-20,65.5677073249781,0.06994399790168912,Lm@0,1,"0.0699:(165,0,66)",19.693540859009293,40.0,0.1698441584531398,26.293004764485286,38.19389845733079,0.04329434213563341,4.198495532412863,0.006960352850771886,0.04889370003541056,0.01112904885826076,0.006297803998135023,0.06824464871193829,0.23681556709574983,0.07949240417326779,0.32131004742735453,0.09164223114160627,0.4355765814787608,,
30,-7,WO,Jan,16549.095614389116,133.5,40.0,67.60704419498123,0.0,136.69188810137652,0.07536949478135391,,145.9167836541166,0.0,58.38219475687139,0.07536949478124523,,12,"0.0754:(146,0,58) | 0.0754:(88,0,117) | 0.0754:(76,0,128) | 0.0754:(47,0,157)",22.25432797863476,40.0,0.20240587918407185,35.92512197923667,38.724047284632874,0.058227626910622755,3.390349300715189,0.014889607783694723,0.025640968073749146,0.021091579937088073,0.019480538829728455,0.029496842937430948,0.038100775038546836,0.06160387362150101,0.1661876632129657,0.13182690097282246,0.776231022918759,,
30,-5,WO,Jan,16773.673942601225,161.10000000000002,40.0,72.78706782176364,0.0,141.1429007224495,0.08129602878302093,,91.70735947625712,0.0,122.22267030275945,0.08129602878276787,,12,"0.0813:(92,0,122) | 0.0813:(49,0,165) | 0.0813:(141,0,73) | 0.0813:(81,0,133)",18.80213745006883,40.0,0.21454522891507394,35.65470859125317,38.67227605920901,0.05922614180378061,3.9622501712735216,0.016560639689810506,0.034081155205508036,0.02211958400268994,0.018415740828832353,0.04282259081176428,0.06902098650762883,0.06695812952173881,0.1687492730018803,0.1391920547934585,0.7438139996616583,,
30,-3,WO,Jan,9057.828485606962,230.80000000000004,40.0,81.48024916243605,0.0,148.72177318376552,0.08898586248184445,,127.88415735183654,0.0,102.31795040643075,0.08898586248145111,,12,"0.0890:(128,0,102) | 0.0890:(186,0,45) | 0.0890:(90,0,141) | 0.0890:(159,0,71)",13.228598965889029,40.0,0.23077438042890921,35.42036607415286,38.62145547275687,0.0597860444329285,4.732292181689693,0.01877211726534694,0.043020171894608064,0.023059182788418318,0.016703971585083282,0.056300483735164865,0.09957634272972772,0.07270281490102411,0.16604827603521652,0.14965691118415744,0.7176714096499726,,
