Freq_GHz	Model_dBm
5.9881974	-2.4364084
5.9981774	-2.4377265
6.0081574	-2.4390467
6.0181374	-2.4403691
6.0281174	-2.4416937
6.0380974	-2.4430205
6.0480774	-2.4443494
6.0580573	-2.4456806
6.0680373	-2.4470139
6.0780173	-2.4483494
6.0879973	-2.4496872
6.0979773	-2.451027
6.1079573	-2.4523691
6.1179373	-2.4537134
6.1279173	-2.4550598
6.1378973	-2.4564084
6.1478773	-2.4577592
6.1578573	-2.4591122
6.1678373	-2.4604674
6.1778173	-2.4618248
6.1877973	-2.4631843
6.1977773	-2.464546
6.2077573	-2.46591
6.2177373	-2.467276
6.2277173	-2.4686443
6.2376973	-2.4700148
6.2476773	-2.4713874
6.2576573	-2.4727622
6.2676373	-2.4741392
6.2776172	-2.4755184
6.2875972	-2.4768998
6.2975772	-2.4782833
6.3075572	-2.4796691
6.3175372	-2.481057
6.3275172	-2.4824471
6.3374972	-2.4838394
6.3474772	-2.4852338
6.3574572	-2.4866304
6.3674372	-2.4880293
6.3774172	-2.4894303
6.3873972	-2.4908334
6.3973772	-2.4922388
6.4073572	-2.4936463
6.4173372	-2.4950561
6.4273172	-2.496468
6.4372972	-2.497882
6.4472772	-2.4992983
6.4572572	-2.5007167
6.4672372	-2.5021374
6.4772172	-2.5035602
6.4871972	-2.5049851
6.4971772	-2.5064123
6.5071571	-2.5078416
6.5171371	-2.5092731
6.5271171	-2.5107068
6.5370971	-2.5121427
6.5470771	-2.5135807
6.5570571	-2.515021
6.5670371	-2.5164634
6.5770171	-2.517908
6.5869971	-2.5193547
6.5969771	-2.5208036
6.6069571	-2.5222548
6.6169371	-2.5237081
6.6269171	-2.5251635
6.6368971	-2.5266212
6.6468771	-2.528081
6.6568571	-2.529543
6.6668371	-2.5310072
6.6768171	-2.5324735
6.6867971	-2.533942
6.6967771	-2.5354127
6.7067571	-2.5368856
6.7167371	-2.5383607
6.726717	-2.5398379
6.736697	-2.5413173
6.746677	-2.5427989
6.756657	-2.5442826
6.766637	-2.5457686
6.776617	-2.5472567
6.786597	-2.5487469
6.796577	-2.5502394
6.806557	-2.551734
6.816537	-2.5532308
6.826517	-2.5547298
6.836497	-2.5562309
6.846477	-2.5577343
6.856457	-2.5592397
6.866437	-2.5607474
6.876417	-2.5622572
6.886397	-2.5637693
6.896377	-2.5652834
6.906357	-2.5667998
6.916337	-2.5683183
6.926317	-2.569839
6.936297	-2.5713619
6.946277	-2.5728869
6.9562569	-2.5744141
6.9662369	-2.5759435
6.9762169	-2.5774751
6.9861969	-2.5790088
6.9961769	-2.5805447
7.0061569	-2.5820828
7.0161369	-2.583623
7.0261169	-2.5851654
7.0360969	-2.58671
7.0460769	-2.5882567
7.0560569	-2.5898057
7.0660369	-2.5913567
7.0760169	-2.59291
7.0859969	-2.5944654
7.0959769	-2.596023
7.1059569	-2.5975828
7.1159369	-2.5991447
7.1259169	-2.6007088
7.1358969	-2.6022751
7.1458769	-2.6038435
7.1558569	-2.6054141
7.1658369	-2.6069869
7.1758168	-2.6085618
7.1857968	-2.6101389
7.1957768	-2.6117182
7.2057568	-2.6132996
7.2157368	-2.6148832
7.2257168	-2.6164689
7.2356968	-2.6180569
7.2456768	-2.619647
7.2556568	-2.6212392
7.2656368	-2.6228337
7.2756168	-2.6244302
7.2855968	-2.626029
7.2955768	-2.6276299
7.3055568	-2.629233
7.3155368	-2.6308383
7.3255168	-2.6324457
7.3354968	-2.6340552
7.3454768	-2.635667
7.3554568	-2.6372809
7.3654368	-2.6388969
7.3754168	-2.6405152
7.3853968	-2.6421356
7.3953768	-2.6437581
7.4053567	-2.6453828
7.4153367	-2.6470097
7.4253167	-2.6486387
7.4352967	-2.6502699
7.4452767	-2.6519033
7.4552567	-2.6535388
7.4652367	-2.6551765
7.4752167	-2.6568164
7.4851967	-2.6584584
7.4951767	-2.6601025
7.5051567	-2.6617488
7.5151367	-2.6633973
7.5251167	-2.665048
7.5350967	-2.6667008
7.5450767	-2.6683557
7.5550567	-2.6700128
7.5650367	-2.6716721
7.5750167	-2.6733335
7.5849967	-2.6749971
7.5949767	-2.6766629
7.6049567	-2.6783308
7.6149367	-2.6800008
7.6249166	-2.6816731
7.6348966	-2.6833474
7.6448766	-2.685024
7.6548566	-2.6867027
7.6648366	-2.6883835
7.6748166	-2.6900665
7.6847966	-2.6917517
7.6947766	-2.693439
7.7047566	-2.6951284
7.7147366	-2.6968201
7.7247166	-2.6985138
7.7346966	-2.7002098
7.7446766	-2.7019078
7.7546566	-2.7036081
7.7646366	-2.7053105
7.7746166	-2.707015
7.7845966	-2.7087217
7.7945766	-2.7104305
7.8045566	-2.7121415
7.8145366	-2.7138547
7.8245166	-2.71557
7.8344966	-2.7172875
7.8444766	-2.7190071
7.8544565	-2.7207288
7.8644365	-2.7224527
7.8744165	-2.7241788
7.8843965	-2.725907
7.8943765	-2.7276373
7.9043565	-2.7293698
7.9143365	-2.7311045
7.9243165	-2.7328413
7.9342965	-2.7345803
7.9442765	-2.7363214
7.9542565	-2.7380646
7.9642365	-2.73981
7.9742165	-2.7415576
7.9841965	-2.7433072
7.9941765	-2.7450591
8.0041565	-2.7468131
8.0141365	-2.7485692
8.0241165	-2.7503275
8.0340965	-2.7520879
8.0440765	-2.7538505
8.0540565	-2.7556152
8.0640365	-2.7573821
8.0740164	-2.7591511
8.0839964	-2.7609222
8.0939764	-2.7626955
8.1039564	-2.7644709
8.1139364	-2.7662485
8.1239164	-2.7680283
8.1338964	-2.7698101
8.1438764	-2.7715941
8.1538564	-2.7733803
8.1638364	-2.7751686
8.1738164	-2.776959
8.1837964	-2.7787516
8.1937764	-2.7805463
8.2037564	-2.7823432
8.2137364	-2.7841422
8.2237164	-2.7859433
8.2336964	-2.7877466
8.2436764	-2.789552
8.2536564	-2.7913596
8.2636364	-2.7931693
8.2736164	-2.7949811
8.2835964	-2.7967951
8.2935764	-2.7986112
8.3035563	-2.8004294
8.3135363	-2.8022498
8.3235163	-2.8040724
8.3334963	-2.805897
8.3434763	-2.8077238
8.3534563	-2.8095528
8.3634363	-2.8113838
8.3734163	-2.813217
8.3833963	-2.8150524
8.3933763	-2.8168898
8.4033563	-2.8187295
8.4133363	-2.8205712
8.4233163	-2.8224151
8.4332963	-2.8242611
8.4432763	-2.8261092
8.4532563	-2.8279595
8.4632363	-2.8298119
8.4732163	-2.8316665
8.4831963	-2.8335231
8.4931763	-2.835382
8.5031563	-2.8372429
8.5131363	-2.839106
8.5231162	-2.8409712
8.5330962	-2.8428385
8.5430762	-2.844708
8.5530562	-2.8465795
8.5630362	-2.8484533
8.5730162	-2.8503291
8.5829962	-2.8522071
8.5929762	-2.8540872
8.6029562	-2.8559694
8.6129362	-2.8578538
8.6229162	-2.8597403
8.6328962	-2.8616289
8.6428762	-2.8635196
8.6528562	-2.8654125
8.6628362	-2.8673075
8.6728162	-2.8692046
8.6827962	-2.8711038
8.6927762	-2.8730052
8.7027562	-2.8749087
8.7127362	-2.8768143
8.7227162	-2.878722
8.7326962	-2.8806319
8.7426762	-2.8825439
8.7526561	-2.884458
8.7626361	-2.8863742
8.7726161	-2.8882926
8.7825961	-2.890213
8.7925761	-2.8921356
8.8025561	-2.8940603
8.8125361	-2.8959872
8.8225161	-2.8979161
8.8324961	-2.8998472
8.8424761	-2.9017804
8.8524561	-2.9037157
8.8624361	-2.9056531
8.8724161	-2.9075927
8.8823961	-2.9095343
8.8923761	-2.9114781
8.9023561	-2.913424
8.9123361	-2.915372
8.9223161	-2.9173222
8.9322961	-2.9192744
8.9422761	-2.9212288
8.9522561	-2.9231853
8.9622361	-2.9251438
8.972216	-2.9271046
8.982196	-2.9290674
8.992176	-2.9310323
9.002156	-2.9329994
9.012136	-2.9349685
9.022116	-2.9369398
9.032096	-2.9389132
9.042076	-2.9408887
9.052056	-2.9428663
9.062036	-2.944846
9.072016	-2.9468278
9.081996	-2.9488117
9.091976	-2.9507978
9.101956	-2.9527859
9.111936	-2.9547762
9.121916	-2.9567686
9.131896	-2.9587631
9.141876	-2.9607596
9.151856	-2.9627583
9.161836	-2.9647591
9.171816	-2.9667621
9.181796	-2.9687671
9.191776	-2.9707742
9.2017559	-2.9727834
9.2117359	-2.9747947
9.2217159	-2.9768082
9.2316959	-2.9788237
9.2416759	-2.9808413
9.2516559	-2.9828611
9.2616359	-2.9848829
9.2716159	-2.9869069
9.2815959	-2.9889329
9.2915759	-2.9909611
9.3015559	-2.9929913
9.3115359	-2.9950237
9.3215159	-2.9970581
9.3314959	-2.9990947
9.3414759	-3.0011333
9.3514559	-3.0031741
9.3614359	-3.0052169
9.3714159	-3.0072618
9.3813959	-3.0093089
9.3913759	-3.011358
9.4013559	-3.0134093
9.4113359	-3.0154626
9.4213158	-3.017518
9.4312958	-3.0195755
