Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
1.41987	1.18842	-0.0890038	59.4211	-4.45019	0.0876086	-0.0371072	-20.4325	-22.9554
1.43031	1.18825	-0.0896415	59.4126	-4.48207	0.0875599	-0.037378	-20.4269	-23.1169
1.44076	1.18808	-0.0902788	59.4041	-4.51394	0.0875109	-0.0376487	-20.4213	-23.2782
1.4512	1.18791	-0.0909158	59.3955	-4.54579	0.0874615	-0.0379193	-20.4156	-23.4394
1.46164	1.18774	-0.0915523	59.3869	-4.57762	0.0874118	-0.0381899	-20.4099	-23.6004
1.47209	1.18756	-0.0921886	59.3782	-4.60943	0.0873617	-0.0384605	-20.4042	-23.7612
1.48253	1.18739	-0.0928244	59.3694	-4.64122	0.0873113	-0.038731	-20.3985	-23.9219
1.49297	1.18721	-0.0934598	59.3606	-4.67299	0.0872605	-0.0390015	-20.3927	-24.0825
1.50342	1.18703	-0.0940949	59.3517	-4.70475	0.0872093	-0.0392719	-20.3869	-24.2429
1.51386	1.18686	-0.0947296	59.3428	-4.73648	0.0871578	-0.0395422	-20.381	-24.4031
1.5243	1.18668	-0.0953639	59.3338	-4.76819	0.087106	-0.0398125	-20.3751	-24.5632
1.53475	1.18649	-0.0959978	59.3247	-4.79989	0.0870538	-0.0400828	-20.3692	-24.7231
1.54519	1.18631	-0.0966313	59.3156	-4.83156	0.0870012	-0.040353	-20.3633	-24.8829
1.55564	1.18613	-0.0972644	59.3064	-4.86322	0.0869483	-0.0406231	-20.3573	-25.0425
1.56608	1.18594	-0.0978971	59.2972	-4.89486	0.086895	-0.0408932	-20.3513	-25.2019
1.57652	1.18576	-0.0985295	59.2879	-4.92647	0.0868414	-0.0411633	-20.3452	-25.3612
1.58697	1.18557	-0.0991614	59.2786	-4.95807	0.0867874	-0.0414333	-20.3392	-25.5203
1.59741	1.18538	-0.0997929	59.2692	-4.98964	0.0867331	-0.0417032	-20.3331	-25.6793
1.60785	1.18519	-0.100424	59.2597	-5.0212	0.0866784	-0.0419731	-20.3269	-25.8381
1.6183	1.185	-0.101055	59.2502	-5.05273	0.0866233	-0.0422429	-20.3207	-25.9968
1.62874	1.18481	-0.101685	59.2406	-5.08425	0.0865679	-0.0425127	-20.3145	-26.1552
1.63918	1.18462	-0.102315	59.2309	-5.11574	0.0865122	-0.0427825	-20.3083	-26.3136
1.64963	1.18442	-0.102944	59.2212	-5.14721	0.0864561	-0.0430521	-20.302	-26.4717
1.66007	1.18423	-0.103573	59.2115	-5.17867	0.0863996	-0.0433217	-20.2958	-26.6297
1.67051	1.18403	-0.104202	59.2017	-5.2101	0.0863428	-0.0435913	-20.2894	-26.7875
1.68096	1.18384	-0.10483	59.1918	-5.24151	0.0862856	-0.0438608	-20.2831	-26.9452
1.6914	1.18364	-0.105458	59.1819	-5.27289	0.0862281	-0.0441302	-20.2767	-27.1027
1.70184	1.18344	-0.106085	59.1719	-5.30426	0.0861703	-0.0443996	-20.2703	-27.26
1.71229	1.18324	-0.106712	59.1618	-5.33561	0.086112	-0.044669	-20.2638	-27.4172
1.72273	1.18303	-0.107339	59.1517	-5.36693	0.0860534	-0.0449382	-20.2574	-27.5742
1.73317	1.18283	-0.107965	59.1415	-5.39823	0.0859945	-0.0452075	-20.2508	-27.731
1.74362	1.18263	-0.10859	59.1313	-5.42951	0.0859352	-0.0454766	-20.2443	-27.8876
1.75406	1.18242	-0.109215	59.121	-5.46077	0.0858756	-0.0457457	-20.2377	-28.0441
1.7645	1.18221	-0.10984	59.1107	-5.492	0.0858156	-0.0460148	-20.2311	-28.2004
1.77495	1.18201	-0.110464	59.1003	-5.52321	0.0857552	-0.0462837	-20.2245	-28.3566
1.78539	1.1818	-0.111088	59.0898	-5.55441	0.0856945	-0.0465527	-20.2179	-28.5126
1.79584	1.18159	-0.111711	59.0793	-5.58557	0.0856335	-0.0468215	-20.2112	-28.6684
1.80628	1.18137	-0.112334	59.0687	-5.61672	0.0855721	-0.0470903	-20.2045	-28.824
1.81672	1.18116	-0.112957	59.0581	-5.64784	0.0855103	-0.0473591	-20.1977	-28.9795
1.82717	1.18095	-0.113579	59.0474	-5.67894	0.0854482	-0.0476278	-20.191	-29.1347
1.83761	1.18073	-0.1142	59.0367	-5.71002	0.0853857	-0.0478964	-20.1842	-29.2899
1.84805	1.18052	-0.114821	59.0259	-5.74107	0.0853229	-0.0481649	-20.1773	-29.4448
1.8585	1.1803	-0.115442	59.015	-5.7721	0.0852598	-0.0484334	-20.1705	-29.5996
