Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
8.54	0.0971128	-1.90913	4.85564	-95.4564	0.547436	-0.787525	-0.362684	-55.1955
8.55	0.0971128	-1.90645	4.85564	-95.3225	0.54648	-0.788081	-0.363483	-55.2614
8.56	0.0971127	-1.90378	4.85564	-95.1889	0.545523	-0.788636	-0.364282	-55.3272
8.57	0.0971127	-1.90111	4.85563	-95.0555	0.544566	-0.78919	-0.365082	-55.3931
8.58	0.0971126	-1.89845	4.85563	-94.9224	0.543608	-0.789743	-0.365883	-55.459
8.59	0.0971125	-1.89579	4.85563	-94.7897	0.542649	-0.790295	-0.366685	-55.5249
8.6	0.0971125	-1.89314	4.85562	-94.6572	0.54169	-0.790845	-0.367487	-55.5908
8.61	0.0971124	-1.8905	4.85562	-94.5249	0.54073	-0.791394	-0.36829	-55.6566
8.62	0.0971123	-1.88786	4.85562	-94.393	0.53977	-0.791942	-0.369094	-55.7225
8.63	0.0971123	-1.88523	4.85561	-94.2613	0.538809	-0.792489	-0.369898	-55.7884
8.64	0.0971122	-1.8826	4.85561	-94.13	0.537847	-0.793035	-0.370703	-55.8543
8.65	0.0971122	-1.87998	4.85561	-93.9988	0.536885	-0.793579	-0.371509	-55.9202
8.66	0.0971121	-1.87736	4.8556	-93.868	0.535922	-0.794123	-0.372315	-55.9861
8.67	0.097112	-1.87475	4.8556	-93.7375	0.534959	-0.794665	-0.373122	-56.052
8.68	0.097112	-1.87214	4.8556	-93.6072	0.533994	-0.795206	-0.373929	-56.118
8.69	0.0971119	-1.86954	4.8556	-93.4772	0.53303	-0.795745	-0.374738	-56.1839
8.7	0.0971119	-1.86695	4.85559	-93.3475	0.532064	-0.796284	-0.375547	-56.2498
8.71	0.0971118	-1.86436	4.85559	-93.218	0.531098	-0.796821	-0.376356	-56.3157
8.72	0.0971117	-1.86178	4.85559	-93.0888	0.530131	-0.797358	-0.377167	-56.3816
