Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
19.7726	0.0969986	-0.465986	4.84993	-23.2993	-0.544471	-0.656065	-1.38543	-129.689
19.7826	0.0969985	-0.465303	4.84993	-23.2651	-0.545163	-0.655397	-1.38616	-129.754
19.7926	0.0969984	-0.46462	4.84992	-23.231	-0.545855	-0.654728	-1.38689	-129.818
19.8027	0.0969982	-0.463938	4.84991	-23.1969	-0.546545	-0.654059	-1.38762	-129.883
19.8127	0.0969981	-0.463256	4.8499	-23.1628	-0.547235	-0.653389	-1.38834	-129.947
19.8227	0.0969979	-0.462575	4.8499	-23.1288	-0.547923	-0.652718	-1.38907	-130.012
19.8327	0.0969978	-0.461894	4.84989	-23.0947	-0.548611	-0.652047	-1.3898	-130.076
19.8428	0.0969976	-0.461214	4.84988	-23.0607	-0.549298	-0.651376	-1.39052	-130.141
19.8528	0.0969975	-0.460534	4.84988	-23.0267	-0.549984	-0.650704	-1.39124	-130.205
19.8628	0.0969974	-0.459854	4.84987	-22.9927	-0.55067	-0.650031	-1.39197	-130.269
19.8728	0.0969972	-0.459175	4.84986	-22.9588	-0.551354	-0.649358	-1.39269	-130.334
19.8829	0.0969971	-0.458497	4.84985	-22.9248	-0.552037	-0.648684	-1.39341	-130.398
19.8929	0.0969969	-0.457819	4.84985	-22.8909	-0.55272	-0.64801	-1.39413	-130.463
19.9029	0.0969968	-0.457141	4.84984	-22.8571	-0.553402	-0.647335	-1.39485	-130.527
19.913	0.0969966	-0.456464	4.84983	-22.8232	-0.554083	-0.646659	-1.39557	-130.591
19.923	0.0969965	-0.455787	4.84983	-22.7894	-0.554763	-0.645983	-1.39629	-130.656
19.933	0.0969964	-0.455111	4.84982	-22.7556	-0.555442	-0.645306	-1.397	-130.72
19.943	0.0969962	-0.454435	4.84981	-22.7218	-0.55612	-0.644629	-1.39772	-130.784
19.9531	0.0969961	-0.45376	4.8498	-22.688	-0.556797	-0.643952	-1.39844	-130.849
19.9631	0.0969959	-0.453085	4.8498	-22.6543	-0.557474	-0.643273	-1.39915	-130.913
19.9731	0.0969958	-0.452411	4.84979	-22.6205	-0.558149	-0.642595	-1.39986	-130.977
19.9831	0.0969956	-0.451737	4.84978	-22.5868	-0.558824	-0.641915	-1.40058	-131.041
19.9932	0.0969955	-0.451063	4.84977	-22.5532	-0.559498	-0.641235	-1.40129	-131.106
