Freq_GHz	Model_dBm_5mA	Model_Norm_dB
3.57217	-2.18169	-0.140383
3.58215	-2.18248	-0.14117
3.59212	-2.18327	-0.14196
3.6021	-2.18406	-0.142752
3.61208	-2.18486	-0.143546
3.62206	-2.18565	-0.144342
3.63203	-2.18645	-0.145141
3.64201	-2.18725	-0.145942
3.65199	-2.18805	-0.146745
3.66197	-2.18886	-0.14755
3.67194	-2.18967	-0.148358
3.68192	-2.19048	-0.149167
3.6919	-2.19129	-0.149979
3.70188	-2.1921	-0.150793
3.71185	-2.19292	-0.151609
3.72183	-2.19374	-0.152428
3.73181	-2.19456	-0.153249
3.74179	-2.19538	-0.154072
3.75176	-2.19621	-0.154897
3.76174	-2.19703	-0.155724
3.77172	-2.19786	-0.156554
3.7817	-2.1987	-0.157385
3.79167	-2.19953	-0.158219
3.80165	-2.20037	-0.159056
3.81163	-2.2012	-0.159894
3.82161	-2.20204	-0.160735
3.83158	-2.20289	-0.161578
3.84156	-2.20373	-0.162423
3.85154	-2.20458	-0.16327
3.86152	-2.20543	-0.16412
3.87149	-2.20628	-0.164971
3.88147	-2.20714	-0.165825
3.89145	-2.20799	-0.166681
3.90143	-2.20885	-0.16754
3.9114	-2.20971	-0.1684
3.92138	-2.21057	-0.169263
3.93136	-2.21144	-0.170128
3.94134	-2.21231	-0.170996
3.95131	-2.21317	-0.171865
3.96129	-2.21405	-0.172737
3.97127	-2.21492	-0.173611
3.98125	-2.2158	-0.174487
3.99122	-2.21667	-0.175365
4.0012	-2.21756	-0.176246
4.01118	-2.21844	-0.177128
4.02116	-2.21932	-0.178013
4.03113	-2.22021	-0.178901
4.04111	-2.2211	-0.17979
4.05109	-2.22199	-0.180682
4.06107	-2.22289	-0.181576
4.07104	-2.22378	-0.182472
4.08102	-2.22468	-0.18337
4.091	-2.22558	-0.184271
4.10098	-2.22648	-0.185173
4.11095	-2.22739	-0.186078
4.12093	-2.2283	-0.186985
4.13091	-2.2292	-0.187895
4.14089	-2.23012	-0.188806
4.15086	-2.23103	-0.18972
4.16084	-2.23195	-0.190636
4.17082	-2.23286	-0.191555
4.1808	-2.23378	-0.192475
4.19077	-2.23471	-0.193398
4.20075	-2.23563	-0.194323
4.21073	-2.23656	-0.19525
4.22071	-2.23749	-0.196179
4.23068	-2.23842	-0.197111
4.24066	-2.23935	-0.198045
4.25064	-2.24029	-0.198981
4.26062	-2.24123	-0.199919
4.27059	-2.24217	-0.20086
4.28057	-2.24311	-0.201802
4.29055	-2.24406	-0.202747
4.30053	-2.245	-0.203694
4.3105	-2.24595	-0.204644
4.32048	-2.2469	-0.205595
4.33046	-2.24786	-0.206549
4.34044	-2.24881	-0.207505
4.35041	-2.24977	-0.208463
4.36039	-2.25073	-0.209424
4.37037	-2.2517	-0.210387
4.38035	-2.25266	-0.211351
4.39032	-2.25363	-0.212319
4.4003	-2.2546	-0.213288
4.41028	-2.25557	-0.21426
4.42026	-2.25654	-0.215233
4.43023	-2.25752	-0.216209
4.44021	-2.2585	-0.217188
4.45019	-2.25948	-0.218168
4.46017	-2.26046	-0.219151
4.47014	-2.26145	-0.220136
4.48012	-2.26243	-0.221123
4.4901	-2.26342	-0.222112
4.50008	-2.26441	-0.223104
4.51005	-2.26541	-0.224098
4.52003	-2.2664	-0.225094
4.53001	-2.2674	-0.226092
4.53998	-2.2684	-0.227092
4.54996	-2.2694	-0.228095
4.55994	-2.27041	-0.2291
4.56992	-2.27142	-0.230107
4.57989	-2.27243	-0.231117
4.58987	-2.27344	-0.232128
4.59985	-2.27445	-0.233142
4.60983	-2.27547	-0.234158
4.6198	-2.27649	-0.235176
4.62978	-2.27751	-0.236197
4.63976	-2.27853	-0.23722
4.64974	-2.27955	-0.238245
4.65971	-2.28058	-0.239272
4.66969	-2.28161	-0.240301
4.67967	-2.28264	-0.241333
4.68965	-2.28368	-0.242367
4.69962	-2.28471	-0.243403
4.7096	-2.28575	-0.244441
4.71958	-2.28679	-0.245482
4.72956	-2.28783	-0.246524
4.73953	-2.28888	-0.247569
4.74951	-2.28993	-0.248617
4.75949	-2.29098	-0.249666
4.76947	-2.29203	-0.250718
4.77944	-2.29308	-0.251772
4.78942	-2.29414	-0.252828
4.7994	-2.2952	-0.253886
4.80938	-2.29626	-0.254947
4.81935	-2.29732	-0.256009
4.82933	-2.29838	-0.257074
4.83931	-2.29945	-0.258142
4.84929	-2.30052	-0.259211
4.85926	-2.30159	-0.260283
4.86924	-2.30267	-0.261357
4.87922	-2.30374	-0.262433
4.8892	-2.30482	-0.263511
4.89917	-2.3059	-0.264592
4.90915	-2.30698	-0.265675
4.91913	-2.30807	-0.26676
4.92911	-2.30916	-0.267847
4.93908	-2.31025	-0.268937
4.94906	-2.31134	-0.270028
4.95904	-2.31243	-0.271122
4.96902	-2.31353	-0.272219
4.97899	-2.31463	-0.273317
4.98897	-2.31573	-0.274418
4.99895	-2.31683	-0.27552
5.00893	-2.31794	-0.276626
5.0189	-2.31904	-0.277733
5.02888	-2.32015	-0.278843
5.03886	-2.32126	-0.279954
5.04884	-2.32238	-0.281068
5.05881	-2.32349	-0.282185
5.06879	-2.32461	-0.283303
5.07877	-2.32573	-0.284424
5.08875	-2.32686	-0.285547
5.09872	-2.32798	-0.286672
5.1087	-2.32911	-0.287799
5.11868	-2.33024	-0.288929
5.12866	-2.33137	-0.290061
5.13863	-2.3325	-0.291195
5.14861	-2.33364	-0.292331
5.15859	-2.33478	-0.29347
5.16857	-2.33592	-0.294611
5.17854	-2.33706	-0.295754
5.18852	-2.33821	-0.296899
5.1985	-2.33936	-0.298046
5.20848	-2.34051	-0.299196
5.21845	-2.34166	-0.300348
5.22843	-2.34281	-0.301502
5.23841	-2.34397	-0.302659
5.24839	-2.34513	-0.303817
5.25836	-2.34629	-0.304978
5.26834	-2.34745	-0.306141
5.27832	-2.34862	-0.307306
5.2883	-2.34978	-0.308474
5.29827	-2.35095	-0.309644
5.30825	-2.35213	-0.310816
5.31823	-2.3533	-0.31199
5.32821	-2.35448	-0.313167
5.33818	-2.35565	-0.314345
5.34816	-2.35684	-0.315526
5.35814	-2.35802	-0.316709
5.36812	-2.3592	-0.317895
5.37809	-2.36039	-0.319082
5.38807	-2.36158	-0.320272
5.39805	-2.36277	-0.321464
5.40803	-2.36397	-0.322659
5.418	-2.36516	-0.323855
5.42798	-2.36636	-0.325054
5.43796	-2.36756	-0.326255
5.44794	-2.36877	-0.327458
5.45791	-2.36997	-0.328664
5.46789	-2.37118	-0.329872
5.47787	-2.37239	-0.331081
5.48785	-2.3736	-0.332294
5.49782	-2.37482	-0.333508
5.5078	-2.37603	-0.334725
5.51778	-2.37725	-0.335944
5.52776	-2.37847	-0.337165
5.53773	-2.3797	-0.338388
5.54771	-2.38092	-0.339614
5.55769	-2.38215	-0.340842
5.56767	-2.38338	-0.342072
5.57764	-2.38461	-0.343304
5.58762	-2.38585	-0.344538
5.5976	-2.38708	-0.345775
5.60758	-2.38832	-0.347014
5.61755	-2.38956	-0.348255
5.62753	-2.39081	-0.349499
5.63751	-2.39205	-0.350744
5.64749	-2.3933	-0.351992
5.65746	-2.39455	-0.353243
5.66744	-2.3958	-0.354495
5.67742	-2.39706	-0.35575
5.6874	-2.39832	-0.357006
5.69737	-2.39958	-0.358265
5.70735	-2.40084	-0.359527
5.71733	-2.4021	-0.36079
5.72731	-2.40337	-0.362056
5.73728	-2.40463	-0.363324
5.74726	-2.4059	-0.364594
5.75724	-2.40718	-0.365867
5.76722	-2.40845	-0.367142
5.77719	-2.40973	-0.368419
5.78717	-2.41101	-0.369698
5.79715	-2.41229	-0.370979
5.80713	-2.41357	-0.372263
5.8171	-2.41486	-0.373549
5.82708	-2.41615	-0.374837
5.83706	-2.41744	-0.376127
5.84704	-2.41873	-0.37742
5.85701	-2.42002	-0.378715
5.86699	-2.42132	-0.380012
5.87697	-2.42262	-0.381311
5.88695	-2.42392	-0.382613
5.89692	-2.42523	-0.383916
5.9069	-2.42653	-0.385222
5.91688	-2.42784	-0.386531
5.92686	-2.42915	-0.387841
5.93683	-2.43046	-0.389154
5.94681	-2.43178	-0.390469
5.95679	-2.4331	-0.391786
5.96677	-2.43442	-0.393105
5.97674	-2.43574	-0.394427
5.98672	-2.43706	-0.395751
5.9967	-2.43839	-0.397077
6.00668	-2.43972	-0.398405
6.01665	-2.44105	-0.399736
6.02663	-2.44238	-0.401069
6.03661	-2.44371	-0.402404
6.04659	-2.44505	-0.403741
6.05656	-2.44639	-0.405081
6.06654	-2.44773	-0.406423
6.07652	-2.44908	-0.407767
6.0865	-2.45042	-0.409113
6.09647	-2.45177	-0.410461
6.10645	-2.45312	-0.411812
6.11643	-2.45447	-0.413165
6.12641	-2.45583	-0.41452
6.13638	-2.45719	-0.415878
6.14636	-2.45855	-0.417237
6.15634	-2.45991	-0.418599
6.16632	-2.46127	-0.419963
6.17629	-2.46264	-0.42133
6.18627	-2.46401	-0.422698
6.19625	-2.46538	-0.424069
6.20623	-2.46675	-0.425442
6.2162	-2.46813	-0.426818
6.22618	-2.4695	-0.428195
6.23616	-2.47088	-0.429575
6.24614	-2.47227	-0.430957
6.25611	-2.47365	-0.432341
6.26609	-2.47504	-0.433728
6.27607	-2.47643	-0.435117
6.28605	-2.47782	-0.436508
6.29602	-2.47921	-0.437901
6.306	-2.48061	-0.439296
6.31598	-2.482	-0.440694
6.32596	-2.4834	-0.442094
6.33593	-2.48481	-0.443496
6.34591	-2.48621	-0.4449
6.35589	-2.48762	-0.446307
6.36587	-2.48903	-0.447716
6.37584	-2.49044	-0.449127
6.38582	-2.49185	-0.45054
6.3958	-2.49327	-0.451956
6.40578	-2.49468	-0.453374
6.41575	-2.4961	-0.454794
6.42573	-2.49753	-0.456216
6.43571	-2.49895	-0.457641
6.44569	-2.50038	-0.459067
6.45566	-2.50181	-0.460497
6.46564	-2.50324	-0.461928
6.47562	-2.50467	-0.463361
6.4856	-2.50611	-0.464797
6.49557	-2.50754	-0.466235
6.50555	-2.50898	-0.467675
6.51553	-2.51043	-0.469118
6.52551	-2.51187	-0.470562
6.53548	-2.51332	-0.472009
6.54546	-2.51477	-0.473458
6.55544	-2.51622	-0.47491
6.56542	-2.51767	-0.476363
6.57539	-2.51913	-0.477819
6.58537	-2.52059	-0.479277
6.59535	-2.52205	-0.480738
6.60533	-2.52351	-0.4822
6.6153	-2.52497	-0.483665
6.62528	-2.52644	-0.485132
6.63526	-2.52791	-0.486601
6.64524	-2.52938	-0.488073
6.65521	-2.53086	-0.489546
6.66519	-2.53233	-0.491022
6.67517	-2.53381	-0.492501
6.68515	-2.53529	-0.493981
6.69512	-2.53677	-0.495464
6.7051	-2.53826	-0.496949
6.71508	-2.53975	-0.498436
6.72506	-2.54124	-0.499925
6.73503	-2.54273	-0.501417
6.74501	-2.54422	-0.502911
6.75499	-2.54572	-0.504407
6.76497	-2.54722	-0.505905
6.77494	-2.54872	-0.507406
6.78492	-2.55022	-0.508909
6.7949	-2.55172	-0.510414
6.80488	-2.55323	-0.511921
6.81485	-2.55474	-0.513431
6.82483	-2.55625	-0.514942
6.83481	-2.55777	-0.516456
6.84479	-2.55928	-0.517973
6.85476	-2.5608	-0.519491
6.86474	-2.56232	-0.521012
6.87472	-2.56384	-0.522535
6.8847	-2.56537	-0.52406
6.89467	-2.5669	-0.525588
6.90465	-2.56843	-0.527117
6.91463	-2.56996	-0.528649
6.92461	-2.57149	-0.530183
6.93458	-2.57303	-0.53172
6.94456	-2.57457	-0.533258
6.95454	-2.57611	-0.534799
6.96452	-2.57765	-0.536342
6.97449	-2.5792	-0.537888
6.98447	-2.58074	-0.539435
6.99445	-2.58229	-0.540985
7.00443	-2.58385	-0.542537
7.0144	-2.5854	-0.544091
7.02438	-2.58696	-0.545648
7.03436	-2.58852	-0.547207
7.04434	-2.59008	-0.548768
7.05431	-2.59164	-0.550331
7.06429	-2.59321	-0.551896
7.07427	-2.59477	-0.553464
7.08425	-2.59634	-0.555034
7.09422	-2.59792	-0.556606
7.1042	-2.59949	-0.55818
7.11418	-2.60107	-0.559757
7.12416	-2.60265	-0.561336
7.13413	-2.60423	-0.562917
7.14411	-2.60581	-0.5645
7.15409	-2.6074	-0.566086
7.16407	-2.60898	-0.567674
7.17404	-2.61057	-0.569264
7.18402	-2.61217	-0.570856
7.194	-2.61376	-0.572451
7.20398	-2.61536	-0.574047
7.21395	-2.61696	-0.575646
7.22393	-2.61856	-0.577248
7.23391	-2.62016	-0.578851
7.24389	-2.62177	-0.580457
7.25386	-2.62337	-0.582065
7.26384	-2.62498	-0.583675
7.27382	-2.6266	-0.585287
7.2838	-2.62821	-0.586902
7.29377	-2.62983	-0.588519
7.30375	-2.63145	-0.590138
7.31373	-2.63307	-0.591759
7.32371	-2.63469	-0.593383
7.33368	-2.63632	-0.595009
7.34366	-2.63795	-0.596637
7.35364	-2.63958	-0.598267
7.36362	-2.64121	-0.5999
7.37359	-2.64284	-0.601535
7.38357	-2.64448	-0.603172
7.39355	-2.64612	-0.604811
7.40353	-2.64776	-0.606452
7.4135	-2.64941	-0.608096
7.42348	-2.65105	-0.609742
7.43346	-2.6527	-0.61139
7.44344	-2.65435	-0.61304
7.45341	-2.656	-0.614693
7.46339	-2.65766	-0.616348
7.47337	-2.65931	-0.618005
7.48335	-2.66097	-0.619664
7.49332	-2.66264	-0.621326
7.5033	-2.6643	-0.62299
7.51328	-2.66597	-0.624656
7.52326	-2.66763	-0.626324
7.53323	-2.6693	-0.627995
7.54321	-2.67098	-0.629667
7.55319	-2.67265	-0.631342
7.56317	-2.67433	-0.63302
7.57314	-2.67601	-0.634699
7.58312	-2.67769	-0.636381
7.5931	-2.67937	-0.638065
7.60308	-2.68106	-0.639751
7.61305	-2.68275	-0.641439
7.62303	-2.68444	-0.64313
7.63301	-2.68613	-0.644823
7.64299	-2.68783	-0.646518
7.65296	-2.68952	-0.648215
7.66294	-2.69122	-0.649915
7.67292	-2.69293	-0.651616
7.6829	-2.69463	-0.65332
7.69287	-2.69634	-0.655027
7.70285	-2.69804	-0.656735
7.71283	-2.69976	-0.658446
7.72281	-2.70147	-0.660159
7.73278	-2.70318	-0.661874
7.74276	-2.7049	-0.663591
7.75274	-2.70662	-0.665311
7.76272	-2.70834	-0.667033
7.77269	-2.71007	-0.668757
7.78267	-2.71179	-0.670483
7.79265	-2.71352	-0.672212
7.80263	-2.71525	-0.673942
7.8126	-2.71699	-0.675676
7.82258	-2.71872	-0.677411
7.83256	-2.72046	-0.679148
7.84254	-2.7222	-0.680888
7.85251	-2.72394	-0.68263
7.86249	-2.72568	-0.684374
7.87247	-2.72743	-0.68612
7.88245	-2.72918	-0.687869
7.89242	-2.73093	-0.68962
7.9024	-2.73268	-0.691373
7.91238	-2.73444	-0.693128
7.92236	-2.7362	-0.694886
7.93233	-2.73796	-0.696646
7.94231	-2.73972	-0.698408
7.95229	-2.74148	-0.700172
7.96227	-2.74325	-0.701938
7.97224	-2.74502	-0.703707
7.98222	-2.74679	-0.705478
7.9922	-2.74856	-0.707251
8.00218	-2.75034	-0.709027
8.01215	-2.75211	-0.710804
8.02213	-2.75389	-0.712584
8.03211	-2.75568	-0.714366
8.04209	-2.75746	-0.71615
8.05206	-2.75925	-0.717937
8.06204	-2.76104	-0.719726
8.07202	-2.76283	-0.721517
8.082	-2.76462	-0.72331
