Freq_GHz	Model_dBm_5mA	Model_Norm_dB
14.717	-8.229	-0.922934
14.727	-8.23035	-0.924285
14.737	-8.23171	-0.925638
14.747	-8.23306	-0.926992
14.7569	-8.23441	-0.928347
14.7669	-8.23577	-0.929703
14.7769	-8.23713	-0.93106
14.7869	-8.23849	-0.932418
14.7968	-8.23985	-0.933778
14.8068	-8.24121	-0.935139
14.8168	-8.24257	-0.9365
14.8268	-8.24393	-0.937863
14.8368	-8.24529	-0.939227
14.8467	-8.24666	-0.940593
14.8567	-8.24803	-0.941959
14.8667	-8.24939	-0.943326
14.8767	-8.25076	-0.944695
14.8866	-8.25213	-0.946065
14.8966	-8.2535	-0.947436
14.9066	-8.25488	-0.948808
14.9166	-8.25625	-0.950181
14.9266	-8.25762	-0.951556
14.9365	-8.259	-0.952931
14.9465	-8.26038	-0.954308
14.9565	-8.26175	-0.955686
14.9665	-8.26313	-0.957065
14.9764	-8.26451	-0.958445
14.9864	-8.26589	-0.959826
14.9964	-8.26728	-0.961209
15.0064	-8.26866	-0.962592
15.0164	-8.27004	-0.963977
15.0263	-8.27143	-0.965363
15.0363	-8.27282	-0.96675
15.0463	-8.27421	-0.968138
15.0563	-8.27559	-0.969527
15.0662	-8.27699	-0.970918
15.0762	-8.27838	-0.97231
15.0862	-8.27977	-0.973702
15.0962	-8.28116	-0.975096
15.1062	-8.28256	-0.976491
15.1161	-8.28395	-0.977888
15.1261	-8.28535	-0.979285
15.1361	-8.28675	-0.980684
15.1461	-8.28815	-0.982083
15.156	-8.28955	-0.983484
15.166	-8.29095	-0.984886
15.176	-8.29236	-0.98629
15.186	-8.29376	-0.987694
15.1959	-8.29517	-0.989099
15.2059	-8.29657	-0.990506
15.2159	-8.29798	-0.991914
15.2259	-8.29939	-0.993323
15.2359	-8.3008	-0.994733
15.2458	-8.30221	-0.996144
15.2558	-8.30362	-0.997557
15.2658	-8.30504	-0.99897
15.2758	-8.30645	-1.00039
15.2857	-8.30787	-1.0018
15.2957	-8.30929	-1.00322
15.3057	-8.3107	-1.00464
15.3157	-8.31212	-1.00606
15.3257	-8.31354	-1.00748
15.3356	-8.31497	-1.0089
15.3456	-8.31639	-1.01032
15.3556	-8.31781	-1.01174
15.3656	-8.31924	-1.01317
15.3755	-8.32066	-1.0146
15.3855	-8.32209	-1.01602
15.3955	-8.32352	-1.01745
15.4055	-8.32495	-1.01888
15.4155	-8.32638	-1.02031
15.4254	-8.32781	-1.02175
15.4354	-8.32925	-1.02318
15.4454	-8.33068	-1.02461
15.4554	-8.33212	-1.02605
15.4653	-8.33355	-1.02749
15.4753	-8.33499	-1.02892
15.4853	-8.33643	-1.03036
15.4953	-8.33787	-1.0318
15.5053	-8.33931	-1.03324
15.5152	-8.34075	-1.03469
15.5252	-8.3422	-1.03613
15.5352	-8.34364	-1.03758
15.5452	-8.34509	-1.03902
15.5551	-8.34654	-1.04047
15.5651	-8.34799	-1.04192
15.5751	-8.34943	-1.04337
15.5851	-8.35089	-1.04482
15.595	-8.35234	-1.04627
15.605	-8.35379	-1.04772
15.615	-8.35524	-1.04918
15.625	-8.3567	-1.05063
15.635	-8.35816	-1.05209
15.6449	-8.35961	-1.05355
15.6549	-8.36107	-1.05501
15.6649	-8.36253	-1.05647
15.6749	-8.36399	-1.05793
15.6848	-8.36546	-1.05939
15.6948	-8.36692	-1.06085
15.7048	-8.36839	-1.06232
15.7148	-8.36985	-1.06378
15.7248	-8.37132	-1.06525
15.7347	-8.37279	-1.06672
15.7447	-8.37426	-1.06819
15.7547	-8.37573	-1.06966
15.7647	-8.3772	-1.07113
15.7746	-8.37867	-1.0726
15.7846	-8.38015	-1.07408
15.7946	-8.38162	-1.07555
15.8046	-8.3831	-1.07703
15.8146	-8.38458	-1.07851
15.8245	-8.38605	-1.07999
15.8345	-8.38753	-1.08147
15.8445	-8.38902	-1.08295
15.8545	-8.3905	-1.08443
15.8644	-8.39198	-1.08591
15.8744	-8.39347	-1.0874
15.8844	-8.39495	-1.08888
15.8944	-8.39644	-1.09037
15.9044	-8.39793	-1.09186
15.9143	-8.39942	-1.09335
15.9243	-8.40091	-1.09484
15.9343	-8.4024	-1.09633
15.9443	-8.40389	-1.09782
15.9542	-8.40539	-1.09932
15.9642	-8.40688	-1.10081
15.9742	-8.40838	-1.10231
15.9842	-8.40987	-1.10381
15.9941	-8.41137	-1.10531
16.0041	-8.41287	-1.10681
16.0141	-8.41437	-1.10831
16.0241	-8.41588	-1.10981
16.0341	-8.41738	-1.11131
16.044	-8.41888	-1.11282
16.054	-8.42039	-1.11432
16.064	-8.4219	-1.11583
16.074	-8.42341	-1.11734
16.0839	-8.42492	-1.11885
16.0939	-8.42643	-1.12036
16.1039	-8.42794	-1.12187
16.1139	-8.42945	-1.12338
16.1239	-8.43096	-1.1249
16.1338	-8.43248	-1.12641
16.1438	-8.434	-1.12793
16.1538	-8.43551	-1.12945
16.1638	-8.43703	-1.13097
16.1737	-8.43855	-1.13249
16.1837	-8.44007	-1.13401
16.1937	-8.4416	-1.13553
16.2037	-8.44312	-1.13705
16.2137	-8.44464	-1.13858
16.2236	-8.44617	-1.1401
16.2336	-8.4477	-1.14163
16.2436	-8.44923	-1.14316
16.2536	-8.45075	-1.14469
16.2635	-8.45229	-1.14622
16.2735	-8.45382	-1.14775
16.2835	-8.45535	-1.14928
16.2935	-8.45688	-1.15082
16.3035	-8.45842	-1.15235
16.3134	-8.45996	-1.15389
16.3234	-8.46149	-1.15543
16.3334	-8.46303	-1.15696
16.3434	-8.46457	-1.15851
16.3533	-8.46611	-1.16005
16.3633	-8.46766	-1.16159
16.3733	-8.4692	-1.16313
16.3833	-8.47074	-1.16468
16.3932	-8.47229	-1.16622
16.4032	-8.47384	-1.16777
16.4132	-8.47539	-1.16932
16.4232	-8.47694	-1.17087
16.4332	-8.47849	-1.17242
16.4431	-8.48004	-1.17397
16.4531	-8.48159	-1.17552
16.4631	-8.48314	-1.17708
16.4731	-8.4847	-1.17863
16.483	-8.48626	-1.18019
16.493	-8.48781	-1.18175
16.503	-8.48937	-1.18331
16.513	-8.49093	-1.18487
16.523	-8.4925	-1.18643
16.5329	-8.49406	-1.18799
16.5429	-8.49562	-1.18955
16.5529	-8.49719	-1.19112
16.5629	-8.49875	-1.19269
16.5728	-8.50032	-1.19425
16.5828	-8.50189	-1.19582
16.5928	-8.50346	-1.19739
16.6028	-8.50503	-1.19896
16.6128	-8.5066	-1.20053
16.6227	-8.50817	-1.20211
16.6327	-8.50975	-1.20368
16.6427	-8.51132	-1.20526
16.6527	-8.5129	-1.20683
16.6626	-8.51448	-1.20841
16.6726	-8.51606	-1.20999
16.6826	-8.51764	-1.21157
16.6926	-8.51922	-1.21315
16.7026	-8.5208	-1.21474
16.7125	-8.52239	-1.21632
16.7225	-8.52397	-1.2179
16.7325	-8.52556	-1.21949
16.7425	-8.52715	-1.22108
16.7524	-8.52873	-1.22267
16.7624	-8.53032	-1.22426
16.7724	-8.53192	-1.22585
16.7824	-8.53351	-1.22744
16.7923	-8.5351	-1.22903
16.8023	-8.5367	-1.23063
16.8123	-8.53829	-1.23222
16.8223	-8.53989	-1.23382
16.8323	-8.54149	-1.23542
16.8422	-8.54309	-1.23702
16.8522	-8.54469	-1.23862
16.8622	-8.54629	-1.24022
16.8722	-8.54789	-1.24182
16.8821	-8.5495	-1.24343
16.8921	-8.5511	-1.24503
16.9021	-8.55271	-1.24664
16.9121	-8.55432	-1.24825
16.9221	-8.55592	-1.24986
16.932	-8.55753	-1.25147
16.942	-8.55915	-1.25308
16.952	-8.56076	-1.25469
16.962	-8.56237	-1.2563
16.9719	-8.56399	-1.25792
16.9819	-8.5656	-1.25954
16.9919	-8.56722	-1.26115
17.0019	-8.56884	-1.26277
17.0119	-8.57046	-1.26439
17.0218	-8.57208	-1.26601
17.0318	-8.5737	-1.26763
17.0418	-8.57532	-1.26926
17.0518	-8.57695	-1.27088
17.0617	-8.57858	-1.27251
17.0717	-8.5802	-1.27413
17.0817	-8.58183	-1.27576
17.0917	-8.58346	-1.27739
17.1017	-8.58509	-1.27902
17.1116	-8.58672	-1.28065
17.1216	-8.58835	-1.28229
17.1316	-8.58999	-1.28392
17.1416	-8.59162	-1.28556
17.1515	-8.59326	-1.28719
17.1615	-8.5949	-1.28883
17.1715	-8.59654	-1.29047
17.1815	-8.59818	-1.29211
17.1914	-8.59982	-1.29375
17.2014	-8.60146	-1.29539
17.2114	-8.6031	-1.29704
17.2214	-8.60475	-1.29868
17.2314	-8.60639	-1.30033
17.2413	-8.60804	-1.30198
17.2513	-8.60969	-1.30362
17.2613	-8.61134	-1.30527
17.2713	-8.61299	-1.30692
17.2812	-8.61464	-1.30858
17.2912	-8.6163	-1.31023
17.3012	-8.61795	-1.31188
