Freq_GHz	Norm_dB_model_sat
8.74441	-0.540872
8.75439	-0.542151
8.76437	-0.543431
8.77435	-0.544713
8.78434	-0.545997
8.79432	-0.547282
8.8043	-0.548569
8.81428	-0.549858
8.82426	-0.551148
8.83425	-0.55244
8.84423	-0.553733
8.85421	-0.555028
8.86419	-0.556325
8.87417	-0.557624
8.88416	-0.558924
8.89414	-0.560226
8.90412	-0.561529
8.9141	-0.562834
8.92408	-0.564141
8.93407	-0.565449
8.94405	-0.566759
8.95403	-0.568071
8.96401	-0.569384
8.97399	-0.570699
8.98398	-0.572015
8.99396	-0.573334
9.00394	-0.574654
9.01392	-0.575975
9.0239	-0.577298
9.03389	-0.578623
9.04387	-0.57995
9.05385	-0.581278
9.06383	-0.582608
9.07381	-0.583939
9.0838	-0.585272
9.09378	-0.586607
9.10376	-0.587944
9.11374	-0.589282
9.12372	-0.590622
9.13371	-0.591963
9.14369	-0.593306
9.15367	-0.594651
9.16365	-0.595997
9.17363	-0.597345
9.18362	-0.598695
9.1936	-0.600046
9.20358	-0.6014
9.21356	-0.602754
9.22354	-0.604111
9.23353	-0.605469
9.24351	-0.606829
9.25349	-0.60819
9.26347	-0.609553
9.27345	-0.610918
9.28344	-0.612284
9.29342	-0.613652
9.3034	-0.615022
9.31338	-0.616393
9.32336	-0.617766
9.33335	-0.619141
9.34333	-0.620518
9.35331	-0.621896
9.36329	-0.623275
9.37327	-0.624657
9.38326	-0.62604
9.39324	-0.627425
9.40322	-0.628811
9.4132	-0.630199
9.42318	-0.631589
9.43317	-0.632981
9.44315	-0.634374
9.45313	-0.635769
9.46311	-0.637165
9.47309	-0.638563
9.48308	-0.639963
9.49306	-0.641365
9.50304	-0.642768
9.51302	-0.644173
9.523	-0.645579
9.53299	-0.646988
9.54297	-0.648398
9.55295	-0.649809
9.56293	-0.651223
9.57291	-0.652638
9.5829	-0.654054
9.59288	-0.655473
9.60286	-0.656893
9.61284	-0.658314
9.62282	-0.659738
9.63281	-0.661163
9.64279	-0.66259
9.65277	-0.664018
9.66275	-0.665448
9.67273	-0.66688
9.68272	-0.668314
9.6927	-0.669749
9.70268	-0.671186
9.71266	-0.672624
9.72264	-0.674065
9.73263	-0.675507
9.74261	-0.67695
9.75259	-0.678396
9.76257	-0.679843
9.77255	-0.681291
9.78254	-0.682742
9.79252	-0.684194
9.8025	-0.685648
9.81248	-0.687103
9.82246	-0.688561
9.83245	-0.69002
9.84243	-0.69148
9.85241	-0.692942
9.86239	-0.694407
9.87237	-0.695872
9.88236	-0.69734
9.89234	-0.698809
9.90232	-0.70028
9.9123	-0.701752
9.92228	-0.703226
9.93227	-0.704702
9.94225	-0.70618
9.95223	-0.707659
9.96221	-0.70914
9.97219	-0.710623
9.98218	-0.712107
9.99216	-0.713593
10.0021	-0.715081
10.0121	-0.716571
10.0221	-0.718062
10.0321	-0.719555
10.0421	-0.72105
10.0521	-0.722546
10.062	-0.724044
10.072	-0.725544
10.082	-0.727045
10.092	-0.728548
10.102	-0.730053
10.1119	-0.73156
10.1219	-0.733068
10.1319	-0.734578
10.1419	-0.73609
10.1519	-0.737604
10.1619	-0.739119
10.1718	-0.740636
10.1818	-0.742154
10.1918	-0.743675
10.2018	-0.745197
10.2118	-0.74672
10.2217	-0.748246
10.2317	-0.749773
10.2417	-0.751302
10.2517	-0.752832
10.2617	-0.754365
10.2717	-0.755899
10.2816	-0.757435
10.2916	-0.758972
10.3016	-0.760511
10.3116	-0.762052
10.3216	-0.763595
10.3315	-0.765139
10.3415	-0.766685
10.3515	-0.768233
10.3615	-0.769783
10.3715	-0.771334
