Freq_GHz	Norm_dB_model_vE
6.60826	-0.305452
6.61824	-0.306395
6.62823	-0.30734
6.63821	-0.308287
6.64819	-0.309235
6.65817	-0.310185
6.66815	-0.311136
6.67814	-0.312088
6.68812	-0.313043
6.6981	-0.313998
6.70808	-0.314956
6.71806	-0.315914
6.72805	-0.316875
6.73803	-0.317837
6.74801	-0.3188
6.75799	-0.319765
6.76797	-0.320732
6.77796	-0.3217
6.78794	-0.32267
6.79792	-0.323641
6.8079	-0.324613
6.81788	-0.325588
6.82787	-0.326564
6.83785	-0.327541
6.84783	-0.32852
6.85781	-0.3295
6.86779	-0.330482
6.87778	-0.331466
6.88776	-0.332451
6.89774	-0.333438
6.90772	-0.334426
6.9177	-0.335416
6.92769	-0.336407
6.93767	-0.3374
6.94765	-0.338395
6.95763	-0.339391
6.96761	-0.340388
6.9776	-0.341387
6.98758	-0.342388
6.99756	-0.34339
7.00754	-0.344394
7.01752	-0.345399
7.02751	-0.346406
7.03749	-0.347415
7.04747	-0.348425
7.05745	-0.349437
7.06743	-0.35045
7.07742	-0.351464
7.0874	-0.352481
7.09738	-0.353498
7.10736	-0.354518
7.11734	-0.355539
7.12733	-0.356561
7.13731	-0.357585
7.14729	-0.358611
7.15727	-0.359638
7.16725	-0.360667
7.17724	-0.361697
7.18722	-0.362729
7.1972	-0.363763
7.20718	-0.364798
7.21716	-0.365835
7.22715	-0.366873
7.23713	-0.367912
7.24711	-0.368954
7.25709	-0.369997
7.26707	-0.371041
7.27706	-0.372087
7.28704	-0.373135
7.29702	-0.374184
7.307	-0.375235
7.31698	-0.376287
7.32697	-0.377341
7.33695	-0.378396
7.34693	-0.379453
7.35691	-0.380512
7.36689	-0.381572
7.37688	-0.382634
7.38686	-0.383697
7.39684	-0.384762
7.40682	-0.385829
7.4168	-0.386897
7.42679	-0.387967
7.43677	-0.389038
7.44675	-0.390111
7.45673	-0.391185
7.46671	-0.392261
7.4767	-0.393339
7.48668	-0.394418
7.49666	-0.395498
7.50664	-0.396581
7.51662	-0.397665
7.52661	-0.39875
7.53659	-0.399837
7.54657	-0.400926
7.55655	-0.402016
7.56653	-0.403108
7.57652	-0.404201
7.5865	-0.405296
7.59648	-0.406393
7.60646	-0.407491
7.61644	-0.408591
7.62643	-0.409692
7.63641	-0.410795
7.64639	-0.411899
7.65637	-0.413005
7.66635	-0.414113
7.67634	-0.415222
7.68632	-0.416333
7.6963	-0.417446
7.70628	-0.41856
7.71626	-0.419675
7.72625	-0.420793
7.73623	-0.421911
7.74621	-0.423032
7.75619	-0.424154
7.76617	-0.425277
7.77616	-0.426403
7.78614	-0.427529
7.79612	-0.428658
7.8061	-0.429788
7.81608	-0.430919
7.82607	-0.432053
7.83605	-0.433187
7.84603	-0.434324
7.85601	-0.435462
7.86599	-0.436601
7.87598	-0.437743
7.88596	-0.438885
7.89594	-0.44003
7.90592	-0.441176
7.9159	-0.442323
7.92589	-0.443473
7.93587	-0.444623
7.94585	-0.445776
7.95583	-0.44693
7.96581	-0.448086
7.9758	-0.449243
7.98578	-0.450402
7.99576	-0.451562
8.00574	-0.452724
8.01572	-0.453888
8.02571	-0.455053
8.03569	-0.45622
8.04567	-0.457388
8.05565	-0.458559
8.06563	-0.45973
8.07562	-0.460904
8.0856	-0.462078
8.09558	-0.463255
8.10556	-0.464433
8.11554	-0.465613
8.12553	-0.466794
8.13551	-0.467977
8.14549	-0.469162
8.15547	-0.470348
8.16545	-0.471536
8.17544	-0.472726
8.18542	-0.473917
8.1954	-0.475109
8.20538	-0.476304
8.21536	-0.4775
8.22535	-0.478697
8.23533	-0.479896
8.24531	-0.481097
8.25529	-0.482299
8.26527	-0.483504
8.27526	-0.484709
8.28524	-0.485916
8.29522	-0.487125
8.3052	-0.488336
8.31518	-0.489548
8.32517	-0.490762
8.33515	-0.491977
8.34513	-0.493194
8.35511	-0.494413
8.36509	-0.495633
8.37508	-0.496855
8.38506	-0.498079
8.39504	-0.499304
8.40502	-0.500531
8.415	-0.501759
8.42498	-0.502989
8.43497	-0.504221
8.44495	-0.505454
8.45493	-0.506689
8.46491	-0.507925
8.47489	-0.509164
8.48488	-0.510403
8.49486	-0.511645
8.50484	-0.512888
8.51482	-0.514133
8.5248	-0.515379
8.53479	-0.516627
8.54477	-0.517877
8.55475	-0.519128
8.56473	-0.520381
8.57471	-0.521635
8.5847	-0.522892
8.59468	-0.52415
8.60466	-0.525409
8.61464	-0.52667
8.62462	-0.527933
8.63461	-0.529197
8.64459	-0.530463
8.65457	-0.531731
8.66455	-0.533
8.67453	-0.534271
8.68452	-0.535544
8.6945	-0.536818
8.70448	-0.538094
8.71446	-0.539371
8.72444	-0.54065
8.73443	-0.541931
8.74441	-0.543214
8.75439	-0.544498
8.76437	-0.545784
8.77435	-0.547071
8.78434	-0.54836
8.79432	-0.549651
8.8043	-0.550943
8.81428	-0.552237
8.82426	-0.553533
8.83425	-0.55483
8.84423	-0.556129
8.85421	-0.55743
8.86419	-0.558732
8.87417	-0.560036
8.88416	-0.561341
8.89414	-0.562648
8.90412	-0.563957
8.9141	-0.565268
8.92408	-0.56658
8.93407	-0.567894
8.94405	-0.569209
8.95403	-0.570526
8.96401	-0.571845
8.97399	-0.573166
8.98398	-0.574488
8.99396	-0.575812
9.00394	-0.577137
9.01392	-0.578464
9.0239	-0.579793
9.03389	-0.581123
9.04387	-0.582455
9.05385	-0.583789
9.06383	-0.585125
9.07381	-0.586462
9.0838	-0.5878
9.09378	-0.589141
9.10376	-0.590483
9.11374	-0.591826
9.12372	-0.593172
9.13371	-0.594519
9.14369	-0.595868
9.15367	-0.597218
9.16365	-0.59857
9.17363	-0.599924
9.18362	-0.601279
9.1936	-0.602636
9.20358	-0.603995
9.21356	-0.605355
9.22354	-0.606717
9.23353	-0.608081
9.24351	-0.609447
9.25349	-0.610814
9.26347	-0.612182
9.27345	-0.613553
9.28344	-0.614925
9.29342	-0.616299
9.3034	-0.617674
9.31338	-0.619051
9.32336	-0.62043
9.33335	-0.621811
9.34333	-0.623193
9.35331	-0.624577
9.36329	-0.625962
9.37327	-0.627349
9.38326	-0.628738
9.39324	-0.630129
9.40322	-0.631521
9.4132	-0.632915
9.42318	-0.634311
9.43317	-0.635708
9.44315	-0.637107
9.45313	-0.638508
9.46311	-0.63991
9.47309	-0.641314
9.48308	-0.64272
9.49306	-0.644127
9.50304	-0.645536
9.51302	-0.646947
9.523	-0.648359
9.53299	-0.649773
9.54297	-0.651189
9.55295	-0.652607
9.56293	-0.654026
9.57291	-0.655447
9.5829	-0.656869
9.59288	-0.658294
9.60286	-0.65972
9.61284	-0.661147
9.62282	-0.662576
9.63281	-0.664008
9.64279	-0.66544
9.65277	-0.666875
9.66275	-0.668311
9.67273	-0.669749
9.68272	-0.671188
9.6927	-0.672629
9.70268	-0.674072
9.71266	-0.675517
9.72264	-0.676963
9.73263	-0.678411
9.74261	-0.679861
9.75259	-0.681312
9.76257	-0.682765
9.77255	-0.68422
9.78254	-0.685676
9.79252	-0.687134
9.8025	-0.688594
9.81248	-0.690056
9.82246	-0.691519
9.83245	-0.692984
9.84243	-0.694451
9.85241	-0.695919
9.86239	-0.697389
9.87237	-0.698861
9.88236	-0.700335
9.89234	-0.70181
9.90232	-0.703287
9.9123	-0.704765
9.92228	-0.706246
9.93227	-0.707728
9.94225	-0.709211
9.95223	-0.710697
9.96221	-0.712184
9.97219	-0.713673
9.98218	-0.715163
