Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
2.72032e+10	-0.78703216	-0.063347021	-0.8230378	-0.024390963	-2.0521059	-1.6877918
2.74032e+10	-0.78796464	-0.049078467	-0.8233308	-0.0085222799	-2.0530498	-1.6880475
2.76031e+10	-0.78665661	-0.032713762	-0.82334853	0.007226787	-2.076792	-1.6879912
2.78031e+10	-0.7832703	-0.0173554	-0.82309693	0.02286743	-2.1196351	-1.6876296
2.8003e+10	-0.78308398	-0.0022041464	-0.8225822	0.038379678	-2.1237988	-1.6869699
2.8203e+10	-0.77991092	0.015433273	-0.82180978	0.05377495	-2.1573997	-1.6860183
2.84029e+10	-0.77973079	0.029010474	-0.82078642	0.069033974	-2.1550987	-1.6847829
2.86029e+10	-0.77620567	0.048005118	-0.81951706	0.084168361	-2.1838841	-1.6832693
2.88028e+10	-0.77230418	0.062962355	-0.81800895	0.099159536	-2.2154629	-1.6814862
2.90028e+10	-0.77200573	0.079985077	-0.81626651	0.11401927	-2.2012191	-1.6794388
2.92027e+10	-0.76349451	0.093385828	-0.81429744	0.12872968	-2.2793896	-1.6771363
2.94027e+10	-0.76416637	0.10932161	-0.81210567	0.14330267	-2.2482555	-1.6745835
2.96026e+10	-0.75448083	0.12312685	-0.80969927	0.15772104	-2.3328865	-1.67179
2.98026e+10	-0.75349866	0.13797087	-0.80708168	0.1719968	-2.3151271	-1.6687602
3.00025e+10	-0.74777997	0.15249477	-0.80426132	0.18611341	-2.3475661	-1.6655041
3.02025e+10	-0.74585094	0.16451431	-0.80124114	0.20008295	-2.3406441	-1.6620254
3.04024e+10	-0.74086332	0.17817397	-0.79802985	0.21388956	-2.361047	-1.6583347
3.06024e+10	-0.73180865	0.195753	-0.7946299	0.22754535	-2.4119167	-1.6544352
3.08023e+10	-0.73238243	0.20653472	-0.79105029	0.24103511	-2.3729098	-1.6503376
3.10023e+10	-0.72453735	0.22020711	-0.78729298	0.25437096	-2.4150782	-1.6460446
3.12022e+10	-0.72030983	0.22443304	-0.78336719	0.26753834	-2.4472256	-1.6415672
3.14022e+10	-0.708674	0.24532433	-0.77927439	0.28054933	-2.4995248	-1.6369076
3.16021e+10	-0.7061834	0.25367293	-0.77502401	0.29339001	-2.4945693	-1.6320771
3.18021e+10	-0.70106818	0.27620983	-0.77061707	0.30607243	-2.4581344	-1.6270772
3.2002e+10	-0.69630595	0.27604346	-0.76606314	0.31858324	-2.5100465	-1.6219193
3.2202e+10	-0.68484928	0.29802131	-0.76136279	0.33093445	-2.5349405	-1.6166046
3.24019e+10	-0.68061998	0.30977364	-0.75652572	0.3431133	-2.524303	-1.6111446
3.26019e+10	-0.6739794	0.32027462	-0.75155206	0.35513171	-2.54282	-1.6055399
3.28018e+10	-0.66676966	0.3346069	-0.74645164	0.36697748	-2.5450084	-1.5998019
3.30018e+10	-0.65547141	0.3416562	-0.74122413	0.37866242	-2.6251178	-1.593931
3.32017e+10	-0.6530595	0.36027715	-0.73587945	0.3901749	-2.5470161	-1.5879386
3.34017e+10	-0.64177828	0.36714926	-0.73041687	0.40152659	-2.6226845	-1.5818244
3.36016e+10	-0.64093024	0.38202623	-0.72484636	0.4127064	-2.54351	-1.5756
3.38016e+10	-0.62600399	0.39040227	-0.71916679	0.42372586	-2.6416571	-1.5692647
3.40015e+10	-0.62741699	0.40232368	-0.71338817	0.43457438	-2.553031	-1.5628299
3.42015e+10	-0.61485887	0.4182316	-0.70750899	0.44526334	-2.5729914	-1.5562945
3.44014e+10	-0.61445371	0.4249065	-0.70153928	0.45578264	-2.5328884	-1.54967
3.46014e+10	-0.60046734	0.43400402	-0.69547717	0.46614349	-2.6049054	-1.5429546
3.48013e+10	-0.59101311	0.44188965	-0.68933269	0.47633627	-2.639519	-1.5361599
3.50013e+10	-0.58429599	0.45982533	-0.68310361	0.486372	-2.5739965	-1.5292838
3.52012e+10	-0.57523637	0.46924111	-0.67679997	0.49624152	-2.5878212	-1.5223377
3.54012e+10	-0.58028106	0.47556321	-0.67041919	0.50595565	-2.4957919	-1.515319
3.56011e+10	-0.55474912	0.47905699	-0.66397129	0.51550568	-2.6982989	-1.5082392
3.58011e+10	-0.5542387	0.49710838	-0.65745337	0.5249022	-2.5625725	-1.5010953
3.6001e+10	-0.53403884	0.51245308	-0.65087542	0.53413694	-2.613735	-1.4938985
3.6201e+10	-0.5320496	0.51784986	-0.64423425	0.54322028	-2.5865514	-1.4866457
3.64009e+10	-0.51746536	0.53096829	-0.63753978	0.55214433	-2.5987606	-1.4793478
3.66009e+10	-0.50327011	0.53459409	-0.63078853	0.56091927	-2.6835351	-1.4720014
3.68008e+10	-0.49545423	0.54875254	-0.6239904	0.56953759	-2.62327	-1.4646174
3.70008e+10	-0.48132198	0.55613206	-0.61714162	0.57800924	-2.6683989	-1.4571919
3.72007e+10	-0.47584978	0.56338829	-0.61025203	0.58632709	-2.6452935	-1.4497358
3.74007e+10	-0.46211358	0.57455992	-0.6033176	0.59450083	-2.6466618	-1.4422448
3.76006e+10	-0.45310476	0.57468122	-0.5963481	0.60252371	-2.711899	-1.4347298
3.78006e+10	-0.44495216	0.59288977	-0.58933928	0.61040518	-2.6003175	-1.4271861
3.80005e+10	-0.43300487	0.59385232	-0.58230081	0.61813882	-2.6748257	-1.4196245
3.82005e+10	-0.42554659	0.60526652	-0.57522823	0.62573384	-2.6166549	-1.4120401
3.84004e+10	-0.41291526	0.60914981	-0.56813113	0.63318415	-2.6635141	-1.4044434
3.86004e+10	-0.40805097	0.61300135	-0.56100483	0.64049871	-2.6577942	-1.3968295
3.88003e+10	-0.38825202	0.6260749	-0.55385884	0.64767175	-2.6543264	-1.3892085
3.90003e+10	-0.38956731	0.62845248	-0.54668829	0.65471198	-2.6223884	-1.3815753
3.92002e+10	-0.36431155	0.64428523	-0.53950259	0.66161392	-2.6135707	-1.3739401
3.94002e+10	-0.35926922	0.64255582	-0.53229671	0.66838604	-2.6603889	-1.3662974
3.96001e+10	-0.34333731	0.64934202	-0.52507994	0.67502314	-2.6798797	-1.3586571
3.98001e+10	-0.33287153	0.65681872	-0.5178471	0.68153346	-2.6582904	-1.3510139
4e+10	-0.32184557	0.65938838	-0.51060738	0.68791205	-2.6891301	-1.3433773
