Freq_GHz	Model_Norm_dB	Model_dBm_5mA
11.0054	-1.43537	-3.47669
11.0154	-1.43794	-3.47926
11.0254	-1.44051	-3.48183
11.0353	-1.44309	-3.48441
11.0453	-1.44567	-3.48699
11.0553	-1.44825	-3.48957
11.0653	-1.45083	-3.49215
11.0752	-1.45342	-3.49473
11.0852	-1.456	-3.49732
11.0952	-1.45859	-3.49991
11.1052	-1.46118	-3.5025
11.1152	-1.46378	-3.5051
11.1251	-1.46637	-3.50769
11.1351	-1.46897	-3.51029
11.1451	-1.47157	-3.51289
11.1551	-1.47417	-3.51549
11.165	-1.47678	-3.5181
11.175	-1.47938	-3.5207
11.185	-1.48199	-3.52331
11.195	-1.4846	-3.52592
11.205	-1.48721	-3.52853
11.2149	-1.48983	-3.53115
11.2249	-1.49245	-3.53377
11.2349	-1.49507	-3.53638
11.2449	-1.49769	-3.53901
11.2548	-1.50031	-3.54163
11.2648	-1.50294	-3.54425
11.2748	-1.50556	-3.54688
11.2848	-1.50819	-3.54951
11.2947	-1.51083	-3.55214
11.3047	-1.51346	-3.55478
11.3147	-1.5161	-3.55741
11.3247	-1.51873	-3.56005
11.3347	-1.52137	-3.56269
11.3446	-1.52402	-3.56534
11.3546	-1.52666	-3.56798
11.3646	-1.52931	-3.57063
11.3746	-1.53196	-3.57328
11.3845	-1.53461	-3.57593
11.3945	-1.53726	-3.57858
11.4045	-1.53992	-3.58124
11.4145	-1.54257	-3.58389
11.4245	-1.54523	-3.58655
11.4344	-1.5479	-3.58921
11.4444	-1.55056	-3.59188
11.4544	-1.55322	-3.59454
11.4644	-1.55589	-3.59721
11.4743	-1.55856	-3.59988
11.4843	-1.56123	-3.60255
11.4943	-1.56391	-3.60523
11.5043	-1.56659	-3.6079
11.5143	-1.56926	-3.61058
11.5242	-1.57194	-3.61326
11.5342	-1.57463	-3.61595
11.5442	-1.57731	-3.61863
11.5542	-1.58	-3.62132
11.5641	-1.58269	-3.62401
11.5741	-1.58538	-3.6267
11.5841	-1.58807	-3.62939
11.5941	-1.59077	-3.63209
11.6041	-1.59347	-3.63478
11.614	-1.59616	-3.63748
11.624	-1.59887	-3.64019
11.634	-1.60157	-3.64289
11.644	-1.60428	-3.64559
11.6539	-1.60698	-3.6483
11.6639	-1.60969	-3.65101
11.6739	-1.61241	-3.65373
11.6839	-1.61512	-3.65644
11.6938	-1.61784	-3.65916
11.7038	-1.62056	-3.66187
11.7138	-1.62328	-3.66459
11.7238	-1.626	-3.66732
11.7338	-1.62872	-3.67004
11.7437	-1.63145	-3.67277
11.7537	-1.63418	-3.6755
11.7637	-1.63691	-3.67823
11.7737	-1.63964	-3.68096
11.7836	-1.64238	-3.6837
11.7936	-1.64512	-3.68643
11.8036	-1.64785	-3.68917
11.8136	-1.6506	-3.69191
11.8236	-1.65334	-3.69466
11.8335	-1.65608	-3.6974
11.8435	-1.65883	-3.70015
11.8535	-1.66158	-3.7029
11.8635	-1.66433	-3.70565
11.8734	-1.66709	-3.70841
11.8834	-1.66984	-3.71116
11.8934	-1.6726	-3.71392
