Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_model	Im_S11_model
36.6009	-0.327301	0.633809	-0.449976	0.586075
36.8008	-0.323413	0.650699	-0.446056	0.592266
37.0007	-0.308496	0.651918	-0.442062	0.598387
37.2007	-0.3079	0.659442	-0.437997	0.604437
37.4006	-0.296849	0.666629	-0.433863	0.610414
37.6006	-0.285765	0.662721	-0.429661	0.616318
37.8006	-0.280682	0.685567	-0.425394	0.622147
38.0005	-0.269384	0.678288	-0.421063	0.627902
38.2004	-0.267477	0.694583	-0.416672	0.633581
38.4004	-0.255714	0.69295	-0.412221	0.639184
38.6003	-0.254424	0.694745	-0.407712	0.64471
38.8003	-0.22862	0.711068	-0.403149	0.650159
39.0003	-0.237371	0.700367	-0.398532	0.65553
39.2002	-0.202737	0.718022	-0.393863	0.660823
39.4001	-0.208335	0.713163	-0.389146	0.666037
39.6001	-0.190924	0.718991	-0.38438	0.671172
39.8	-0.18326	0.72202	-0.37957	0.676229
40	-0.174488	0.722008	-0.374715	0.681205
