Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
1.14072e+10	0.24138413	-0.91846527	0.21287186	-0.90133548	-0.44868219	-0.66654422
1.16071e+10	0.21839096	-0.92241442	0.19070222	-0.90407285	-0.46461147	-0.6868706
1.18071e+10	0.1987857	-0.92614717	0.16850156	-0.90626255	-0.4707959	-0.70732035
1.2007e+10	0.17549667	-0.92828876	0.14630723	-0.90790398	-0.49382478	-0.7278601
1.2207e+10	0.156186	-0.93135661	0.12411208	-0.90900083	-0.49723181	-0.74849731
1.24069e+10	0.13258784	-0.93318301	0.10195323	-0.90955455	-0.51386529	-0.76919812
1.26069e+10	0.11441569	-0.93503684	0.079823321	-0.90956869	-0.51887995	-0.78996987
1.28068e+10	0.089493551	-0.93459797	0.057759134	-0.90904672	-0.54786325	-0.81077832
1.30068e+10	0.069157669	-0.93643265	0.035753083	-0.90799205	-0.54684627	-0.83163068
1.32067e+10	0.047111805	-0.9351359	0.013841473	-0.90641012	-0.57149649	-0.85249245
1.34067e+10	0.025424262	-0.93570214	-0.0079835163	-0.90430418	-0.57404238	-0.87337075
1.36066e+10	0.0086041017	-0.93333602	-0.029686184	-0.9016816	-0.5988704	-0.89423091
1.38066e+10	-0.014586264	-0.93213964	-0.051274594	-0.89854546	-0.60931718	-0.91507996
1.40065e+10	-0.036809792	-0.92874771	-0.072713769	-0.89490499	-0.63522816	-0.93588322
1.42065e+10	-0.060957557	-0.92648053	-0.094012026	-0.89076308	-0.6445142	-0.95664765
1.44064e+10	-0.07826034	-0.92364126	-0.11513522	-0.88613076	-0.65886599	-0.97733867
1.46064e+10	-0.10101543	-0.91962689	-0.13609194	-0.88101069	-0.67567974	-0.99796319
1.48063e+10	-0.11998123	-0.91449624	-0.15684899	-0.87541565	-0.70224142	-1.0184869
1.50063e+10	-0.14245449	-0.90952085	-0.1774152	-0.86934803	-0.71849293	-1.0389166
1.52062e+10	-0.16235957	-0.90403765	-0.19775842	-0.86282226	-0.73840415	-1.0592184
1.54062e+10	-0.18269742	-0.89952372	-0.21788778	-0.85584048	-0.74419123	-1.0793991
1.56061e+10	-0.20258916	-0.89210311	-0.23777225	-0.84841864	-0.77331448	-1.0994253
1.58061e+10	-0.22212569	-0.88567424	-0.2574212	-0.8405586	-0.78959632	-1.119304
1.6006e+10	-0.24238617	-0.87846871	-0.27680485	-0.83227775	-0.80682153	-1.1390022
1.6206e+10	-0.26059703	-0.87068294	-0.29593282	-0.82357762	-0.83020163	-1.158527
1.64059e+10	-0.28069582	-0.8637544	-0.31477662	-0.81447696	-0.83618808	-1.1778462
1.66059e+10	-0.29783723	-0.85439182	-0.33334613	-0.80497695	-0.86879247	-1.196967
1.68058e+10	-0.31670552	-0.84590149	-0.35161422	-0.79509757	-0.88388765	-1.2158582
1.70058e+10	-0.33631098	-0.83621606	-0.36959098	-0.78483961	-0.902502	-1.2345269
1.72057e+10	-0.35316055	-0.82746024	-0.38725071	-0.7742242	-0.91829914	-1.252943
1.74057e+10	-0.37170308	-0.81770605	-0.40460374	-0.76325171	-0.93230683	-1.2711137
1.76056e+10	-0.38729173	-0.80624794	-0.42162581	-0.75194427	-0.96893394	-1.2890102
1.78056e+10	-0.40606444	-0.79509739	-0.43832744	-0.74030183	-0.98504525	-1.3066398
1.80055e+10	-0.42122952	-0.78371463	-0.45468587	-0.72834742	-1.0147066	-1.3239747
1.82055e+10	-0.43827992	-0.77329708	-0.4707118	-0.71608054	-1.0233022	-1.3410226
1.84054e+10	-0.45329282	-0.76055759	-0.48638399	-0.70352499	-1.0572702	-1.357757
1.86054e+10	-0.46952076	-0.74905252	-0.50171329	-0.69067979	-1.0705467	-1.3741857
1.88053e+10	-0.48609032	-0.73594552	-0.51667999	-0.67756941	-1.0907645	-1.3902838
1.90053e+10	-0.49907442	-0.7240477	-0.53129505	-0.66419238	-1.1164056	-1.4060592
1.92052e+10	-0.5153215	-0.71030533	-0.54554031	-0.65057372	-1.1345857	-1.4214884
1.94052e+10	-0.52869112	-0.6963421	-0.55942683	-0.63671145	-1.1667556	-1.4365796
1.96051e+10	-0.54315985	-0.68426642	-0.57293795	-0.62263103	-1.1733708	-1.4513108
1.98051e+10	-0.55716513	-0.66891503	-0.58608481	-0.60832995	-1.2039938	-1.4656905
2.0005e+10	-0.57086753	-0.65692353	-0.59885228	-0.59383402	-1.2065276	-1.4796984
2.0205e+10	-0.58249222	-0.64015508	-0.61125151	-0.5791402	-1.2546269	-1.493343
2.04049e+10	-0.59553261	-0.62650054	-0.62326887	-0.56427452	-1.2658521	-1.5066057
2.06049e+10	-0.60809146	-0.61205287	-0.6349155	-0.54923338	-1.28203	-1.5194951
2.08048e+10	-0.62006323	-0.59685423	-0.64617923	-0.53404299	-1.3034981	-1.5319945
2.10048e+10	-0.63017697	-0.582354	-0.65707117	-0.51869919	-1.3296927	-1.5441125
2.12047e+10	-0.64179657	-0.56424024	-0.66758058	-0.50322823	-1.3651661	-1.5558342
2.14047e+10	-0.65159534	-0.54993642	-0.67771849	-0.4876254	-1.3846167	-1.5671683
2.16046e+10	-0.66354841	-0.53445476	-0.68747556	-0.47191691	-1.3910024	-1.5781015
2.18046e+10	-0.67030107	-0.51755588	-0.69686268	-0.45609751	-1.4437933	-1.5886429
2.20045e+10	-0.68251408	-0.50051055	-0.70587188	-0.4401933	-1.4488305	-1.5987806
2.22045e+10	-0.68937689	-0.48486826	-0.71451389	-0.42419849	-1.4853512	-1.6085238
2.24044e+10	-0.7005672	-0.46912858	-0.72278206	-0.40813898	-1.4820613	-1.6178624
2.26044e+10	-0.70607917	-0.45107009	-0.7306869	-0.39200844	-1.5365545	-1.6268057
2.28043e+10	-0.71483955	-0.43631235	-0.73822303	-0.37583254	-1.540565	-1.6353452
2.30043e+10	-0.72245067	-0.4186416	-0.74540073	-0.35960442	-1.5664526	-1.64349
2.32042e+10	-0.72906853	-0.4016112	-0.7522158	-0.34334943	-1.5937176	-1.6512334
2.34042e+10	-0.7365646	-0.3861126	-0.75867828	-0.32706021	-1.6013852	-1.6585845
2.36041e+10	-0.74092235	-0.36795389	-0.76478513	-0.31076172	-1.6471792	-1.6655381
2.38041e+10	-0.74745585	-0.35221039	-0.77054606	-0.29444614	-1.6574312	-1.6721032
2.4004e+10	-0.75262901	-0.33470584	-0.77595912	-0.278138	-1.6846396	-1.678276
2.4204e+10	-0.75836606	-0.31865972	-0.78103372	-0.26182901	-1.6962751	-1.6840656
2.44039e+10	-0.7619963	-0.30040662	-0.78576893	-0.24554324	-1.7335354	-1.6894695
2.46039e+10	-0.76675007	-0.28334942	-0.79017379	-0.22927196	-1.7509836	-1.6944967
2.48038e+10	-0.77140515	-0.26673434	-0.79424834	-0.21303874	-1.7638682	-1.699146
2.50038e+10	-0.77413797	-0.25098577	-0.79800127	-0.19683442	-1.7895609	-1.7034262
2.52037e+10	-0.77703692	-0.23301286	-0.80143351	-0.18068206	-1.8172041	-1.7073375
2.54037e+10	-0.77972945	-0.21448882	-0.80455334	-0.16457211	-1.8443323	-1.7108884
2.56036e+10	-0.78218251	-0.19962896	-0.80736257	-0.14852704	-1.8597814	-1.7140802
2.58036e+10	-0.78456175	-0.18037518	-0.80986904	-0.13253696	-1.8837651	-1.7169212
2.60035e+10	-0.78669633	-0.16669875	-0.81207535	-0.11662376	-1.8931085	-1.719414
2.62035e+10	-0.78758048	-0.14679208	-0.8139889	-0.10077722	-1.9257936	-1.7215663
2.64034e+10	-0.78790517	-0.13047105	-0.81561305	-0.085018619	-1.9530374	-1.7233819
2.66034e+10	-0.78967867	-0.11339252	-0.81695473	-0.069337433	-1.9623553	-1.7248682
2.68033e+10	-0.7890742	-0.097380345	-0.81801798	-0.053754346	-1.9919976	-1.7260297
2.70033e+10	-0.7896356	-0.082889821	-0.81880927	-0.038258552	-2.0038717	-1.7268738
2.72032e+10	-0.78703216	-0.063347021	-0.81933327	-0.022870112	-2.0521059	-1.7274058
2.74032e+10	-0.78796464	-0.049078467	-0.81959597	-0.0075779837	-2.0530498	-1.7276324
2.76031e+10	-0.78665661	-0.032713762	-0.81960262	0.0075984021	-2.076792	-1.72756
2.78031e+10	-0.7832703	-0.0173554	-0.81935874	0.022670296	-2.1196351	-1.7271948
2.8003e+10	-0.78308398	-0.0022041464	-0.81887008	0.037618898	-2.1237988	-1.7265439
2.8203e+10	-0.77991092	0.015433273	-0.8181417	0.052455636	-2.1573997	-1.725613
2.84029e+10	-0.77973079	0.029010474	-0.81717982	0.067162344	-2.1550987	-1.7244099
2.86029e+10	-0.77620567	0.048005118	-0.81598901	0.081750595	-2.1838841	-1.72294
2.88028e+10	-0.77230418	0.062962355	-0.81457594	0.096202851	-2.2154629	-1.7212115
2.90028e+10	-0.77200573	0.079985077	-0.81294467	0.1105308	-2.2012191	-1.7192293
2.92027e+10	-0.76349451	0.093385828	-0.81110228	0.12471754	-2.2793896	-1.7170021
2.94027e+10	-0.76416637	0.10932161	-0.80905233	0.13877484	-2.2482555	-1.7145344
2.96026e+10	-0.75448083	0.12312685	-0.80680227	0.1526864	-2.3328865	-1.7118353
2.98026e+10	-0.75349866	0.13797087	-0.80435516	0.16646407	-2.3151271	-1.7089089
3.00025e+10	-0.74777997	0.15249477	-0.80171877	0.18009215	-2.3475661	-1.7057646
3.02025e+10	-0.74585094	0.16451431	-0.7988957	0.19358252	-2.3406441	-1.702406
3.04024e+10	-0.74086332	0.17817397	-0.79589397	0.20692009	-2.361047	-1.6988429
3.06024e+10	-0.73180865	0.195753	-0.79271573	0.22011674	-2.4119167	-1.6950782
3.08023e+10	-0.73238243	0.20653472	-0.78936924	0.23315796	-2.3729098	-1.6911222
3.10023e+10	-0.72453735	0.22020711	-0.7858562	0.24605563	-2.4150782	-1.6869772
3.12022e+10	-0.72030983	0.22443304	-0.78218507	0.2587958	-2.4472256	-1.6826537
3.14022e+10	-0.708674	0.24532433	-0.7783571	0.2713903	-2.4995248	-1.6781536
3.16021e+10	-0.7061834	0.25367293	-0.77438094	0.28382576	-2.4945693	-1.6734875
3.18021e+10	-0.70106818	0.27620983	-0.77025741	0.29611395	-2.4581344	-1.6686568
3.2002e+10	-0.69630595	0.27604346	-0.76599531	0.30824202	-2.5100465	-1.6636723
3.2202e+10	-0.68484928	0.29802131	-0.76159502	0.32022169	-2.5349405	-1.658535
3.24019e+10	-0.68061998	0.30977364	-0.7570655	0.33204063	-2.524303	-1.6532556
3.26019e+10	-0.6739794	0.32027462	-0.7524067	0.34371044	-2.54282	-1.6478348
3.28018e+10	-0.66676966	0.3346069	-0.74762768	0.35521933	-2.5450084	-1.6422833
3.30018e+10	-0.65547141	0.3416562	-0.74272801	0.36657877	-2.6251178	-1.6366013
3.32017e+10	-0.6530595	0.36027715	-0.73771684	0.37777747	-2.5470161	-1.6307996
3.34017e+10	-0.64177828	0.36714926	-0.73259333	0.38882677	-2.6226845	-1.6248779
3.36016e+10	-0.64093024	0.38202623	-0.72736672	0.39971587	-2.54351	-1.6188472
3.38016e+10	-0.62600399	0.39040227	-0.7220358	0.41045595	-2.6416571	-1.6127065
3.40015e+10	-0.62741699	0.40232368	-0.71660984	0.42103667	-2.553031	-1.606467
3.42015e+10	-0.61485887	0.4182316	-0.7110873	0.43146907	-2.5729914	-1.6001272
3.44014e+10	-0.61445371	0.4249065	-0.70547747	0.44174325	-2.5328884	-1.5936982
3.46014e+10	-0.60046734	0.43400402	-0.69977847	0.45187009	-2.6049054	-1.5871783
3.48013e+10	-0.59101311	0.44188965	-0.69399963	0.4618401	-2.639519	-1.5805784
3.50013e+10	-0.58429599	0.45982533	-0.68813872	0.47166399	-2.5739965	-1.5738963
3.52012e+10	-0.57523637	0.46924111	-0.68220507	0.48133269	-2.5878212	-1.5671431
3.54012e+10	-0.58028106	0.47556321	-0.67619617	0.49085672	-2.4957919	-1.5603162
3.56011e+10	-0.55474912	0.47905699	-0.67012133	0.50022742	-2.6982989	-1.5534264
3.58011e+10	-0.5542387	0.49710838	-0.66397773	0.5094551	-2.5625725	-1.5464709
3.6001e+10	-0.53403884	0.51245308	-0.65777469	0.51853149	-2.613735	-1.5394605
3.6201e+10	-0.5320496	0.51784986	-0.6515091	0.52746668	-2.5865514	-1.5323919
3.64009e+10	-0.51746536	0.53096829	-0.64519025	0.53625279	-2.5987606	-1.5252759
3.66009e+10	-0.50327011	0.53459409	-0.63881476	0.5448997	-2.6835351	-1.5181089
3.68008e+10	-0.49545423	0.54875254	-0.6323919	0.55339988	-2.62327	-1.5109016
3.70008e+10	-0.48132198	0.55613206	-0.62591804	0.56176299	-2.6683989	-1.50365
3.72007e+10	-0.47584978	0.56338829	-0.61940239	0.56998185	-2.6452935	-1.4963646
3.74007e+10	-0.46211358	0.57455992	-0.6128411	0.5780659	-2.6466618	-1.4890414
3.76006e+10	-0.45310476	0.57468122	-0.60624332	0.58600829	-2.711899	-1.4816908
3.78006e+10	-0.44495216	0.59288977	-0.59960498	0.59381822	-2.6003175	-1.4743083
3.80005e+10	-0.43300487	0.59385232	-0.59293519	0.60148918	-2.6748257	-1.4669041
3.82005e+10	-0.42554659	0.60526652	-0.58622965	0.60903013	-2.6166549	-1.4594738
3.84004e+10	-0.41291526	0.60914981	-0.57949741	0.61643486	-2.6635141	-1.4520273
3.86004e+10	-0.40805097	0.61300135	-0.572734	0.62371211	-2.6577942	-1.4445599
3.88003e+10	-0.38825202	0.6260749	-0.56594839	0.63085597	-2.6543264	-1.4370815
3.90003e+10	-0.38956731	0.62845248	-0.55913591	0.63787493	-2.6223884	-1.429587
3.92002e+10	-0.36431155	0.64428523	-0.55230548	0.64476336	-2.6135707	-1.4220864
3.94002e+10	-0.35926922	0.64255582	-0.54545227	0.65152953	-2.6603889	-1.4145744
3.96001e+10	-0.34333731	0.64934202	-0.5385851	0.65816809	-2.6798797	-1.4070607
3.98001e+10	-0.33287153	0.65681872	-0.531699	0.66468706	-2.6582904	-1.3995398
4e+10	-0.32184557	0.65938838	-0.52480271	0.67108135	-2.6891301	-1.3920214
