Freq_GHz	Model_Norm_dB	Model_dBm_5mA
4.06107	-0.0361194	-9.37132
4.07104	-0.0362995	-9.3715
4.08102	-0.03648	-9.37168
4.091	-0.036661	-9.37186
4.10098	-0.0368425	-9.37205
4.11095	-0.0370244	-9.37223
4.12093	-0.0372068	-9.37241
4.13091	-0.0373897	-9.37259
4.14089	-0.037573	-9.37278
4.15086	-0.0377568	-9.37296
4.16084	-0.0379411	-9.37314
4.17082	-0.0381258	-9.37333
4.1808	-0.038311	-9.37351
4.19077	-0.0384967	-9.3737
4.20075	-0.0386828	-9.37389
4.21073	-0.0388694	-9.37407
4.22071	-0.0390564	-9.37426
4.23068	-0.039244	-9.37445
4.24066	-0.039432	-9.37463
4.25064	-0.0396204	-9.37482
4.26062	-0.0398093	-9.37501
4.27059	-0.0399987	-9.3752
4.28057	-0.0401886	-9.37539
4.29055	-0.0403789	-9.37558
4.30053	-0.0405697	-9.37577
4.3105	-0.040761	-9.37596
4.32048	-0.0409527	-9.37616
4.33046	-0.0411449	-9.37635
4.34044	-0.0413376	-9.37654
4.35041	-0.0415308	-9.37673
4.36039	-0.0417244	-9.37693
4.37037	-0.0419185	-9.37712
4.38035	-0.042113	-9.37732
4.39032	-0.042308	-9.37751
4.4003	-0.0425035	-9.37771
4.41028	-0.0426995	-9.3779
4.42026	-0.0428959	-9.3781
4.43023	-0.0430928	-9.3783
4.44021	-0.0432902	-9.37849
4.45019	-0.043488	-9.37869
4.46017	-0.0436863	-9.37889
4.47014	-0.0438851	-9.37909
4.48012	-0.0440844	-9.37929
4.4901	-0.0442841	-9.37949
4.50008	-0.0444843	-9.37969
4.51005	-0.044685	-9.37989
4.52003	-0.0448861	-9.38009
4.53001	-0.0450877	-9.38029
4.53998	-0.0452898	-9.38049
4.54996	-0.0454924	-9.3807
4.55994	-0.0456954	-9.3809
4.56992	-0.0458989	-9.3811
4.57989	-0.0461029	-9.38131
4.58987	-0.0463073	-9.38151
4.59985	-0.0465122	-9.38172
4.60983	-0.0467176	-9.38192
4.6198	-0.0469235	-9.38213
4.62978	-0.0471299	-9.38233
4.63976	-0.0473367	-9.38254
4.64974	-0.047544	-9.38275
4.65971	-0.0477517	-9.38295
4.66969	-0.04796	-9.38316
4.67967	-0.0481687	-9.38337
4.68965	-0.0483779	-9.38358
