Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
18.2054	0.215608	-0.319583	0.264485	-0.310632	10.7804	-15.9791	13.2242	-15.5316
18.4054	0.213885	-0.306368	0.261275	-0.298098	10.6942	-15.3184	13.0638	-14.9049
18.6054	0.211334	-0.295697	0.258163	-0.285709	10.5667	-14.7849	12.9082	-14.2854
18.8053	0.208153	-0.284343	0.255145	-0.273459	10.4076	-14.2172	12.7573	-13.673
19.0053	0.208046	-0.273459	0.252217	-0.261346	10.4023	-13.673	12.6108	-13.0673
19.2052	0.204679	-0.262387	0.249375	-0.249366	10.234	-13.1193	12.4688	-12.4683
19.4051	0.203432	-0.249704	0.246617	-0.237515	10.1716	-12.4852	12.3308	-11.8758
19.6051	0.201203	-0.241499	0.243938	-0.225791	10.0602	-12.0749	12.1969	-11.2895
19.8051	0.199253	-0.227551	0.241336	-0.214189	9.96265	-11.3776	12.0668	-10.7094
20.005	0.197936	-0.220491	0.238809	-0.202707	9.89679	-11.0246	11.9404	-10.1353
20.205	0.196806	-0.206565	0.236353	-0.191341	9.84032	-10.3282	11.8176	-9.56707
20.4049	0.195386	-0.198196	0.233965	-0.18009	9.76929	-9.90979	11.6982	-9.00448
20.6048	0.193749	-0.186661	0.231643	-0.168949	9.68745	-9.33306	11.5822	-8.44743
20.8048	0.192366	-0.176714	0.229386	-0.157916	9.61831	-8.83571	11.4693	-7.89579
21.0048	0.192931	-0.166223	0.227189	-0.146988	9.64655	-8.31117	11.3595	-7.34942
21.2047	0.189824	-0.153683	0.225052	-0.136164	9.49119	-7.68413	11.2526	-6.80818
21.4047	0.189803	-0.144523	0.222972	-0.125439	9.49014	-7.22614	11.1486	-6.27196
21.6046	0.18519	-0.135983	0.220948	-0.114812	9.25949	-6.79917	11.0474	-5.74062
21.8045	0.190093	-0.123973	0.218976	-0.104281	9.50466	-6.19867	10.9488	-5.21406
22.0045	0.184233	-0.113647	0.217056	-0.0938432	9.21166	-5.68233	10.8528	-4.69216
22.2045	0.187299	-0.102544	0.215186	-0.0834961	9.36493	-5.12722	10.7593	-4.17481
22.4044	0.182818	-0.0953862	0.213363	-0.0732378	9.14088	-4.76931	10.6682	-3.66189
22.6044	0.185612	-0.0815207	0.211587	-0.0630662	9.28058	-4.07604	10.5794	-3.15331
22.8043	0.182661	-0.0761572	0.209856	-0.0529792	9.13307	-3.80786	10.4928	-2.64896
23.0042	0.180807	-0.0635105	0.208168	-0.0429749	9.04035	-3.17552	10.4084	-2.14875
23.2042	0.181616	-0.054497	0.206522	-0.0330514	9.08081	-2.72485	10.3261	-1.65257
23.4042	0.179095	-0.0457447	0.204916	-0.0232068	8.95477	-2.28723	10.2458	-1.16034
23.6041	0.18089	-0.0351427	0.20335	-0.0134394	9.04448	-1.75713	10.1675	-0.67197
23.8041	0.178965	-0.0269347	0.201821	-0.00374732	8.94826	-1.34673	10.0911	-0.187366
24.004	0.179229	-0.0156628	0.200329	0.00587107	8.96147	-0.783142	10.0165	0.293553
24.2039	0.178856	-0.00769761	0.198873	0.0154174	8.94278	-0.384881	9.94366	0.770871
24.4039	0.177842	0.00311796	0.197451	0.0248933	8.89212	0.155898	9.87257	1.24467
24.6039	0.1784	0.0132742	0.196063	0.0343004	8.92	0.663711	9.80315	1.71502
24.8038	0.175083	0.0214055	0.194707	0.0436401	8.75415	1.07028	9.73535	2.182
25.0038	0.177708	0.0312995	0.193382	0.0529139	8.88541	1.56498	9.66911	2.64569
25.2037	0.176991	0.0395802	0.192088	0.0621232	8.84957	1.97901	9.6044	3.10616
25.4036	0.177161	0.0530131	0.190823	0.0712694	8.85806	2.65065	9.54115	3.56347
25.6036	0.176826	0.058467	0.189587	0.0803539	8.8413	2.92335	9.47934	4.0177
25.8036	0.174186	0.0717933	0.188378	0.089378	8.70928	3.58967	9.41891	4.4689
26.0035	0.176627	0.0758355	0.187197	0.098343	8.83136	3.79178	9.35983	4.91715
26.2035	0.17478	0.0897605	0.186041	0.10725	8.73901	4.48802	9.30206	5.3625
26.4034	0.176735	0.0974697	0.184911	0.1161	8.83674	4.87349	9.24555	5.80502
26.6033	0.174089	0.107753	0.183805	0.124895	8.70444	5.38767	9.19027	6.24476
26.8033	0.1764	0.116252	0.182724	0.133636	8.82002	5.8126	9.13619	6.68179
27.0033	0.175089	0.122384	0.181665	0.142323	8.75444	6.11918	9.08327	7.11615
