Freq_GHz	Norm_dB_model	Model_dBm_5mA
4.14089	-0.0957522	-7.40184
4.15086	-0.0962175	-7.4023
4.16084	-0.0966839	-7.40277
4.17082	-0.0971515	-7.40324
4.1808	-0.0976202	-7.4037
4.19077	-0.0980901	-7.40417
4.20075	-0.0985611	-7.40465
4.21073	-0.0990333	-7.40512
4.22071	-0.0995066	-7.40559
4.23068	-0.099981	-7.40607
4.24066	-0.100457	-7.40654
4.25064	-0.100933	-7.40702
4.26062	-0.101411	-7.4075
4.27059	-0.10189	-7.40797
4.28057	-0.102371	-7.40845
4.29055	-0.102852	-7.40894
4.30053	-0.103335	-7.40942
4.3105	-0.103818	-7.4099
4.32048	-0.104303	-7.41039
4.33046	-0.104789	-7.41087
4.34044	-0.105276	-7.41136
4.35041	-0.105764	-7.41185
4.36039	-0.106254	-7.41234
4.37037	-0.106745	-7.41283
4.38035	-0.107236	-7.41332
4.39032	-0.107729	-7.41381
4.4003	-0.108223	-7.41431
4.41028	-0.108718	-7.4148
4.42026	-0.109215	-7.4153
4.43023	-0.109712	-7.4158
4.44021	-0.110211	-7.41629
4.45019	-0.110711	-7.41679
4.46017	-0.111212	-7.4173
4.47014	-0.111714	-7.4178
4.48012	-0.112217	-7.4183
4.4901	-0.112722	-7.41881
4.50008	-0.113227	-7.41931
4.51005	-0.113734	-7.41982
4.52003	-0.114242	-7.42033
4.53001	-0.114751	-7.42084
4.53998	-0.115261	-7.42135
4.54996	-0.115773	-7.42186
4.55994	-0.116285	-7.42237
4.56992	-0.116799	-7.42288
4.57989	-0.117314	-7.4234
4.58987	-0.11783	-7.42391
4.59985	-0.118347	-7.42443
4.60983	-0.118865	-7.42495
4.6198	-0.119385	-7.42547
4.62978	-0.119905	-7.42599
4.63976	-0.120427	-7.42651
4.64974	-0.12095	-7.42703
4.65971	-0.121474	-7.42756
4.66969	-0.122	-7.42808
4.67967	-0.122526	-7.42861
4.68965	-0.123054	-7.42914
4.69962	-0.123582	-7.42967
4.7096	-0.124112	-7.4302
4.71958	-0.124643	-7.43073
4.72956	-0.125176	-7.43126
4.73953	-0.125709	-7.43179
4.74951	-0.126244	-7.43233
4.75949	-0.126779	-7.43286
4.76947	-0.127316	-7.4334
4.77944	-0.127854	-7.43394
4.78942	-0.128393	-7.43448
4.7994	-0.128934	-7.43502
4.80938	-0.129475	-7.43556
4.81935	-0.130018	-7.4361
4.82933	-0.130562	-7.43665
4.83931	-0.131107	-7.43719
4.84929	-0.131653	-7.43774
4.85926	-0.1322	-7.43828
4.86924	-0.132749	-7.43883
4.87922	-0.133299	-7.43938
4.8892	-0.13385	-7.43993
4.89917	-0.134402	-7.44049
4.90915	-0.134955	-7.44104
4.91913	-0.135509	-7.44159
4.92911	-0.136065	-7.44215
4.93908	-0.136621	-7.44271
4.94906	-0.137179	-7.44326
4.95904	-0.137738	-7.44382
4.96902	-0.138298	-7.44438
4.97899	-0.13886	-7.44494
4.98897	-0.139422	-7.44551
4.99895	-0.139986	-7.44607
5.00893	-0.140551	-7.44663
5.0189	-0.141117	-7.4472
5.02888	-0.141684	-7.44777
5.03886	-0.142252	-7.44834
5.04884	-0.142822	-7.44891
5.05881	-0.143392	-7.44948
5.06879	-0.143964	-7.45005
5.07877	-0.144537	-7.45062
5.08875	-0.145111	-7.4512
5.09872	-0.145687	-7.45177
5.1087	-0.146263	-7.45235
5.11868	-0.146841	-7.45293
5.12866	-0.14742	-7.4535
5.13863	-0.148	-7.45408
5.14861	-0.148581	-7.45467
5.15859	-0.149164	-7.45525
5.16857	-0.149747	-7.45583
5.17854	-0.150332	-7.45642
5.18852	-0.150918	-7.457
5.1985	-0.151505	-7.45759
5.20848	-0.152093	-7.45818
5.21845	-0.152683	-7.45877
5.22843	-0.153273	-7.45936
5.23841	-0.153865	-7.45995
5.24839	-0.154458	-7.46054
5.25836	-0.155052	-7.46114
5.26834	-0.155647	-7.46173
5.27832	-0.156244	-7.46233
5.2883	-0.156841	-7.46293
5.29827	-0.15744	-7.46352
5.30825	-0.15804	-7.46412
5.31823	-0.158641	-7.46473
5.32821	-0.159244	-7.46533
5.33818	-0.159847	-7.46593
5.34816	-0.160452	-7.46654
5.35814	-0.161058	-7.46714
5.36812	-0.161665	-7.46775
5.37809	-0.162273	-7.46836
5.38807	-0.162882	-7.46897
5.39805	-0.163493	-7.46958
5.40803	-0.164105	-7.47019
5.418	-0.164717	-7.4708
5.42798	-0.165332	-7.47142
5.43796	-0.165947	-7.47203
5.44794	-0.166563	-7.47265
5.45791	-0.167181	-7.47326
5.46789	-0.1678	-7.47388
5.47787	-0.16842	-7.4745
5.48785	-0.169041	-7.47512
5.49782	-0.169663	-7.47575
5.5078	-0.170287	-7.47637
5.51778	-0.170912	-7.477
5.52776	-0.171537	-7.47762
5.53773	-0.172164	-7.47825
5.54771	-0.172793	-7.47888
5.55769	-0.173422	-7.47951
5.56767	-0.174053	-7.48014
5.57764	-0.174685	-7.48077
5.58762	-0.175318	-7.4814
5.5976	-0.175952	-7.48204
5.60758	-0.176587	-7.48267
5.61755	-0.177224	-7.48331
5.62753	-0.177861	-7.48395
5.63751	-0.1785	-7.48458
5.64749	-0.17914	-7.48522
5.65746	-0.179782	-7.48587
5.66744	-0.180424	-7.48651
5.67742	-0.181068	-7.48715
5.6874	-0.181712	-7.4878
5.69737	-0.182358	-7.48844
5.70735	-0.183006	-7.48909
5.71733	-0.183654	-7.48974
5.72731	-0.184304	-7.49039
5.73728	-0.184954	-7.49104
5.74726	-0.185606	-7.49169
5.75724	-0.186259	-7.49234
5.76722	-0.186914	-7.493
5.77719	-0.187569	-7.49365
5.78717	-0.188226	-7.49431
5.79715	-0.188884	-7.49497
5.80713	-0.189543	-7.49563
5.8171	-0.190203	-7.49629
5.82708	-0.190864	-7.49695
5.83706	-0.191527	-7.49761
5.84704	-0.192191	-7.49827
5.85701	-0.192856	-7.49894
5.86699	-0.193522	-7.49961
5.87697	-0.194189	-7.50027
5.88695	-0.194858	-7.50094
5.89692	-0.195528	-7.50161
5.9069	-0.196199	-7.50228
5.91688	-0.196871	-7.50295
5.92686	-0.197544	-7.50363
5.93683	-0.198219	-7.5043
5.94681	-0.198894	-7.50498
5.95679	-0.199571	-7.50566
5.96677	-0.200249	-7.50633
5.97674	-0.200929	-7.50701
5.98672	-0.201609	-7.50769
5.9967	-0.202291	-7.50837
6.00668	-0.202974	-7.50906
6.01665	-0.203658	-7.50974
6.02663	-0.204343	-7.51043
6.03661	-0.205029	-7.51111
6.04659	-0.205717	-7.5118
6.05656	-0.206406	-7.51249
6.06654	-0.207096	-7.51318
6.07652	-0.207787	-7.51387
6.0865	-0.208479	-7.51456
6.09647	-0.209173	-7.51526
6.10645	-0.209868	-7.51595
6.11643	-0.210564	-7.51665
6.12641	-0.211261	-7.51735
6.13638	-0.21196	-7.51804
6.14636	-0.212659	-7.51874
6.15634	-0.21336	-7.51944
6.16632	-0.214062	-7.52015
