Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
10.0075	0.736461	-0.367868	0.759895	-0.34612	36.8231	-18.3934	37.9948	-17.306
10.2074	0.72604	-0.364254	0.748908	-0.344363	36.302	-18.2127	37.4454	-17.2182
10.4074	0.715028	-0.365419	0.738035	-0.342355	35.7514	-18.2709	36.9018	-17.1178
10.6074	0.70439	-0.362439	0.727281	-0.340105	35.2195	-18.122	36.364	-17.0052
10.8073	0.693846	-0.362742	0.716648	-0.337621	34.6923	-18.1371	35.8324	-16.8811
11.0073	0.684221	-0.360792	0.706142	-0.334912	34.2111	-18.0396	35.3071	-16.7456
11.2072	0.674118	-0.358113	0.695764	-0.331987	33.7059	-17.9057	34.7882	-16.5994
11.4071	0.663527	-0.355553	0.685518	-0.328853	33.1764	-17.7777	34.2759	-16.4427
11.6071	0.652111	-0.353028	0.675407	-0.325519	32.6055	-17.6514	33.7703	-16.276
11.8071	0.643947	-0.352149	0.665431	-0.321993	32.1973	-17.6074	33.2716	-16.0996
12.007	0.631466	-0.347265	0.655594	-0.318281	31.5733	-17.3633	32.7797	-15.9141
12.207	0.624512	-0.34631	0.645896	-0.314393	31.2256	-17.3155	32.2948	-15.7197
12.4069	0.612013	-0.341449	0.636338	-0.310335	30.6006	-17.0725	31.8169	-15.5167
12.6068	0.606514	-0.339503	0.626922	-0.306114	30.3257	-16.9751	31.3461	-15.3057
12.8068	0.594496	-0.33381	0.617648	-0.301738	29.7248	-16.6905	30.8824	-15.0869
13.0068	0.585901	-0.331689	0.608516	-0.297213	29.295	-16.5845	30.4258	-14.8606
13.2067	0.576825	-0.326088	0.599527	-0.292545	28.8412	-16.3044	29.9764	-14.6273
13.4067	0.568006	-0.32292	0.59068	-0.287742	28.4003	-16.146	29.534	-14.3871
13.6066	0.560634	-0.318289	0.581976	-0.282809	28.0317	-15.9144	29.0988	-14.1405
13.8065	0.550536	-0.313672	0.573413	-0.277753	27.5268	-15.6836	28.6707	-13.8877
14.0065	0.543935	-0.308651	0.564992	-0.272579	27.1967	-15.4326	28.2496	-13.6289
14.2065	0.533117	-0.30443	0.556711	-0.267293	26.6559	-15.2215	27.8356	-13.3646
14.4064	0.526982	-0.29984	0.548571	-0.2619	26.3491	-14.992	27.4285	-13.095
14.6064	0.517616	-0.29491	0.540569	-0.256405	25.8808	-14.7455	27.0284	-12.8202
14.8063	0.511148	-0.288545	0.532704	-0.250814	25.5574	-14.4273	26.6352	-12.5407
15.0062	0.501677	-0.283288	0.524977	-0.245131	25.0839	-14.1644	26.2488	-12.2566
15.2062	0.494187	-0.277601	0.517384	-0.239362	24.7094	-13.88	25.8692	-11.9681
15.4062	0.486818	-0.272704	0.509926	-0.23351	24.3409	-13.6352	25.4963	-11.6755
