Freq_GHz	Norm_dB_model_hole
5.52022	-0.0458012
5.53021	-0.0459695
5.54019	-0.0461382
5.55017	-0.0463071
5.56015	-0.0464764
5.57013	-0.046646
5.58012	-0.046816
5.5901	-0.0469862
5.60008	-0.0471568
5.61006	-0.0473277
5.62004	-0.0474989
5.63003	-0.0476705
5.64001	-0.0478423
5.64999	-0.0480145
5.65997	-0.0481871
5.66995	-0.0483599
5.67994	-0.0485331
5.68992	-0.0487066
5.6999	-0.0488804
5.70988	-0.0490545
5.71986	-0.049229
5.72985	-0.0494038
5.73983	-0.0495789
5.74981	-0.0497544
5.75979	-0.0499301
5.76977	-0.0501062
5.77976	-0.0502826
5.78974	-0.0504594
5.79972	-0.0506365
5.8097	-0.0508139
5.81968	-0.0509916
5.82967	-0.0511696
5.83965	-0.051348
5.84963	-0.0515267
5.85961	-0.0517057
5.86959	-0.0518851
5.87958	-0.0520648
5.88956	-0.0522448
5.89954	-0.0524251
5.90952	-0.0526058
5.9195	-0.0527868
5.92949	-0.0529681
5.93947	-0.0531497
5.94945	-0.0533317
5.95943	-0.053514
5.96941	-0.0536966
5.9794	-0.0538796
5.98938	-0.0540629
5.99936	-0.0542465
6.00934	-0.0544304
6.01932	-0.0546147
6.02931	-0.0547993
6.03929	-0.0549842
6.04927	-0.0551695
6.05925	-0.0553551
6.06923	-0.055541
6.07922	-0.0557272
6.0892	-0.0559138
6.09918	-0.0561007
6.10916	-0.0562879
6.11914	-0.0564755
6.12913	-0.0566634
6.13911	-0.0568516
6.14909	-0.0570401
6.15907	-0.057229
6.16905	-0.0574182
6.17904	-0.0576078
6.18902	-0.0577976
6.199	-0.0579878
6.20898	-0.0581784
6.21896	-0.0583692
6.22895	-0.0585604
6.23893	-0.0587519
6.24891	-0.0589438
6.25889	-0.059136
6.26887	-0.0593285
6.27886	-0.0595213
6.28884	-0.0597145
6.29882	-0.059908
6.3088	-0.0601019
6.31878	-0.060296
6.32877	-0.0604906
6.33875	-0.0606854
6.34873	-0.0608806
6.35871	-0.0610761
6.36869	-0.0612719
6.37868	-0.0614681
6.38866	-0.0616646
6.39864	-0.0618614
6.40862	-0.0620586
6.4186	-0.0622561
6.42859	-0.0624539
6.43857	-0.0626521
6.44855	-0.0628506
6.45853	-0.0630494
6.46851	-0.0632486
6.4785	-0.0634481
6.48848	-0.0636479
6.49846	-0.0638481
6.50844	-0.0640486
6.51842	-0.0642494
6.52841	-0.0644506
6.53839	-0.0646521
6.54837	-0.064854
6.55835	-0.0650562
6.56833	-0.0652587
6.57832	-0.0654615
6.5883	-0.0656647
6.59828	-0.0658682
6.60826	-0.0660721
6.61824	-0.0662763
6.62823	-0.0664808
6.63821	-0.0666857
6.64819	-0.0668909
6.65817	-0.0670964
6.66815	-0.0673023
6.67814	-0.0675085
6.68812	-0.067715
6.6981	-0.0679219
6.70808	-0.0681291
6.71806	-0.0683367
6.72805	-0.0685446
6.73803	-0.0687528
6.74801	-0.0689614
6.75799	-0.0691703
6.76797	-0.0693796
6.77796	-0.0695891
6.78794	-0.0697991
6.79792	-0.0700093
6.8079	-0.0702199
6.81788	-0.0704309
6.82787	-0.0706421
6.83785	-0.0708538
6.84783	-0.0710657
6.85781	-0.071278
6.86779	-0.0714906
6.87778	-0.0717036
6.88776	-0.0719169
6.89774	-0.0721306
6.90772	-0.0723445
6.9177	-0.0725589
6.92769	-0.0727735
6.93767	-0.0729886
6.94765	-0.0732039
6.95763	-0.0734196
6.96761	-0.0736356
6.9776	-0.073852
6.98758	-0.0740687
6.99756	-0.0742858
7.00754	-0.0745032
7.01752	-0.0747209
7.02751	-0.074939
7.03749	-0.0751574
7.04747	-0.0753762
7.05745	-0.0755953
7.06743	-0.0758147
7.07742	-0.0760345
7.0874	-0.0762546
7.09738	-0.0764751
7.10736	-0.0766959
7.11734	-0.0769171
7.12733	-0.0771386
7.13731	-0.0773604
7.14729	-0.0775826
7.15727	-0.0778051
7.16725	-0.078028
7.17724	-0.0782512
7.18722	-0.0784748
7.1972	-0.0786987
7.20718	-0.0789229
7.21716	-0.0791475
7.22715	-0.0793724
7.23713	-0.0795977
7.24711	-0.0798233
7.25709	-0.0800493
7.26707	-0.0802756
7.27706	-0.0805023
7.28704	-0.0807293
7.29702	-0.0809566
7.307	-0.0811843
7.31698	-0.0814124
7.32697	-0.0816408
7.33695	-0.0818695
7.34693	-0.0820986
7.35691	-0.082328
7.36689	-0.0825578
7.37688	-0.0827879
7.38686	-0.0830183
7.39684	-0.0832492
7.40682	-0.0834803
7.4168	-0.0837118
7.42679	-0.0839437
7.43677	-0.0841759
7.44675	-0.0844084
7.45673	-0.0846413
7.46671	-0.0848746
7.4767	-0.0851082
7.48668	-0.0853421
7.49666	-0.0855764
7.50664	-0.085811
7.51662	-0.086046
7.52661	-0.0862813
7.53659	-0.086517
7.54657	-0.0867531
7.55655	-0.0869894
7.56653	-0.0872262
7.57652	-0.0874632
7.5865	-0.0877007
7.59648	-0.0879385
7.60646	-0.0881766
7.61644	-0.0884151
7.62643	-0.0886539
7.63641	-0.0888931
7.64639	-0.0891326
7.65637	-0.0893725
7.66635	-0.0896127
7.67634	-0.0898533
7.68632	-0.0900943
7.6963	-0.0903355
7.70628	-0.0905772
7.71626	-0.0908192
7.72625	-0.0910615
7.73623	-0.0913042
7.74621	-0.0915473
7.75619	-0.0917907
7.76617	-0.0920344
7.77616	-0.0922785
7.78614	-0.092523
7.79612	-0.0927678
7.8061	-0.093013
7.81608	-0.0932585
7.82607	-0.0935044
7.83605	-0.0937506
7.84603	-0.0939972
7.85601	-0.0942441
7.86599	-0.0944914
7.87598	-0.094739
7.88596	-0.094987
7.89594	-0.0952354
7.90592	-0.0954841
7.9159	-0.0957331
7.92589	-0.0959826
7.93587	-0.0962323
7.94585	-0.0964825
7.95583	-0.0967329
7.96581	-0.0969838
7.9758	-0.097235
7.98578	-0.0974865
7.99576	-0.0977384
8.00574	-0.0979907
8.01572	-0.0982433
8.02571	-0.0984963
8.03569	-0.0987496
8.04567	-0.0990033
8.05565	-0.0992574
8.06563	-0.0995118
8.07562	-0.0997666
8.0856	-0.100022
8.09558	-0.100277
8.10556	-0.100533
8.11554	-0.100789
8.12553	-0.101046
8.13551	-0.101303
8.14549	-0.10156
8.15547	-0.101818
8.16545	-0.102076
8.17544	-0.102334
8.18542	-0.102593
8.1954	-0.102852
8.20538	-0.103111
8.21536	-0.103371
8.22535	-0.103631
8.23533	-0.103892
8.24531	-0.104152
8.25529	-0.104414
8.26527	-0.104675
8.27526	-0.104937
8.28524	-0.1052
8.29522	-0.105462
8.3052	-0.105725
8.31518	-0.105989
8.32517	-0.106252
