Freq_GHz	Norm_dB_model_hole
11.7889	-1.04861
11.7989	-1.05051
11.8089	-1.05241
11.8189	-1.05431
11.8288	-1.05622
11.8388	-1.05812
11.8488	-1.06003
11.8588	-1.06195
11.8688	-1.06386
11.8788	-1.06577
11.8887	-1.06769
11.8987	-1.06961
11.9087	-1.07153
11.9187	-1.07345
11.9287	-1.07538
11.9386	-1.07731
11.9486	-1.07923
11.9586	-1.08116
11.9686	-1.0831
11.9786	-1.08503
11.9886	-1.08697
11.9985	-1.08891
12.0085	-1.09085
12.0185	-1.09279
12.0285	-1.09473
12.0385	-1.09668
12.0484	-1.09863
12.0584	-1.10058
12.0684	-1.10253
12.0784	-1.10448
12.0884	-1.10644
12.0984	-1.1084
12.1083	-1.11036
12.1183	-1.11232
12.1283	-1.11428
12.1383	-1.11625
12.1483	-1.11821
12.1583	-1.12018
12.1682	-1.12216
12.1782	-1.12413
12.1882	-1.1261
12.1982	-1.12808
12.2082	-1.13006
12.2181	-1.13204
12.2281	-1.13402
12.2381	-1.13601
12.2481	-1.138
12.2581	-1.13998
12.2681	-1.14198
12.278	-1.14397
12.288	-1.14596
12.298	-1.14796
12.308	-1.14996
12.318	-1.15196
12.3279	-1.15396
12.3379	-1.15597
12.3479	-1.15797
12.3579	-1.15998
12.3679	-1.16199
12.3779	-1.164
12.3878	-1.16602
12.3978	-1.16803
12.4078	-1.17005
12.4178	-1.17207
12.4278	-1.17409
